Title,Type,Geography,Geography ISO,Frameworks,Responses,Instruments,Document Types,Natural Hazards,Keywords,Sectors,Events,Documents,Parent Legislation,Description
Climate Action Plan,executive,Ireland,IRL,"Adaptation, Mitigation","Adaptation, Mitigation",Taxes|Incentives,Action Plan,"","Adaptation, Institutions / Administrative Arrangements, Carbon Pricing, Energy Supply, Energy Demand, Waste, Water Management, Buildings, Redd+ And Lulucf, Transportation, Tax Incentives",Economy-wide,17/06/2019|Plan issued,Full text (PDF)|http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/08/Ireland-CAP.pdf|en,,"<div><br>This plan aims at achieving EU 2030 emissions targets that have been previously set out, as well as reaching net zero emissions by 2050. It formulates 180 actions that need to be taken in order to fulfill those targets. A sectoral roadmap for low-carbon development is designed to achieve a cumulative reduction in emissions of 58.4 MTCO2eq outside of ETS, 17 MtCO2eq within the ETS, and 26.8 MtCO2eq from land use over the period 2021 to 2030.<br><br></div><div><br>The document notably seeks to establish 1) a five year Carbon Budget and sectoral targets with a detailed plan of actions to deliver them, 2) a Climate Action Delivery Board overseen by the Department of the Taoiseach to ensure delivery, 3) an independent Climate Action Council to recommend the Carbon Budget and evaluate policy, 4) strong accountability to an Oireachtas Climate Action Committee, and 5) carbon proofing all Government decisions and major investments.<br><br></div><div><br>Chapter 16 focuses on adaptation measures.<br><br></div>"
Resolution approving the establishment of the Citizens' Assembly,legislative,Ireland,IRL,"","Adaptation, Mitigation",Creating bodies and institutions|Governance and planning;Designing processes|Governance and planning,Resolution,"",Citizens' Assembly,Economy-wide,01/07/2016|Document issued,Link to full text - see Appendix A for the resolution (PDF)|https://2016-2018.citizensassembly.ie/en/How-the-State-can-make-Ireland-a-leader-in-tackling-climate-change/Final-Report-on-how-the-State-can-make-Ireland-a-leader-in-tackling-climate-change/Climate-Change-Report-Final.pdf|en,,"<div>This resolution of Dáil Éireann approves the establishment of the Citizens’ Assembly. The Assembly is notably established to consider how the State can make Ireland a leader in tackling climate change, in order to&nbsp;make such recommendations as it sees fit and report to the Houses of the Oireachtas.<br><br><br><strong><br></strong><br></div>"
Ireland's National Energy and Climate Plan,executive,Ireland,IRL,"","Adaptation, Mitigation",Standards and obligations|Regulation;Taxes|Incentives;Subsidies|Incentives;Developing plans and strategies|Governance and planning;Multi-level governance|Governance and planning;Capacity-building - general|Capacity-building,Plan,"Flood, Biodiversity Loss","Carbon Pricing, Energy Supply, Transportation, Biodiversity, Biofuels, Biogas, Agriculture, Electricity","Agriculture, Buildings, Health, Public Sector, Transportation, Waste",01/08/2020|Approved||,Full text (PDF)|https://ec.europa.eu/energy/sites/ener/files/documents/ie_final_necp_main_en.pdf|,Regulation 2018/1999 on the Governance of the Energy Union and Climate Action,"<div>The National Energy and Climate (ENCP) Plan is a ten-year integrated document <a href=""https://ec.europa.eu/energy/topics/energy-strategy/national-energy-climate-plans_en"">mandated by the European Union</a> to each of its member states in order for the EU to meet its overall greenhouse gases emissions targets.&nbsp; The Energy and Climate Plan addresses all five dimensions of the EU Energy Union: decarbonisation, energy efficiency, energy security, internal energy markets and research, innovation and competitiveness. &nbsp;<br><br>The plan establishes key measures to address the five dimensions of the EU Energy Union :&nbsp;<br><br>1) Decarbonisation : to reduce emissions from sectors outside the EU's Emissions Trading System, carbon pricing to create behavioural change and avoid locking in carbon intensive technologies, eliminate non-recyclable plastic and impose higher fees on the production of materials which are difficult to recycle, promote the increased use of domestic harvested wood in longer lived product, mainstream biodiversity across the decision making process in the State, increase electricity generated from renewable sources to 70%, etc;<br>2) Energy efficiency : to set stricter requirements for new buildings and substantial refurbishment, 600,000 heatpumps installed over the period 2021-2030, scale-up and improve the Sustainable Energy Communities and Better Energy Communities, etc;&nbsp;<br>3) Energy security : to support efforts to increase indigenous renewable sources in the energy mix, including wind, solar and bioenergy, etc;&nbsp;<br>4) Internal energy market : continue to deepen the integration of IRL’s wholesale electricity market and its regulation with the EU internal energy market (IEM), etc;<br>5) Research, innovation and competitivenes : to increase investment in knowledge-based capital, to strengthen delivery of public funding for basic and applied research to meet Ireland’s decarbonisation objectives, etc.&nbsp;</div>"
July Jobs Stimulus,executive,Ireland,IRL,"","Adaptation, Mitigation",Education and training|Capacity-building;Provision of climate finance|Direct investment,"Plan, Policy","","Energy Demand, Transport, Covid19, Stimulus Plan, Public Transport","Economy-wide, Energy, LULUCF, Transportation",23/07/2020|Published||,Link to full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbU1NIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--d5707b5a0545aba397f38f0a1e5e7253034e77ae/81556_d4fa4cc4-7e9f-4431-8540-a9ecb7126505.pdf|en,,"<div>This package aims to enable Ireland's economy to recover from the Covid-19-induced crisis. It includes a series of climate-relevant spending measures, notably further support to : 1) the retrofitting program, 2) the implementation of renewable energy in fisheries and on farms, 3) peatland rehabilitation, 4) the Green Enterprise Fund, 5) the adaptation of roads to climate-induced adverse events, 6) the pedestrian and cycling networks, 7) an expanded bus system and introduction of zero emission vehicles, and 8) improving the rail infrastructure.&nbsp;</div>"
National Home Retrofit Scheme 2020 (One Stop Shop Development Call),executive,Ireland,IRL,"",Mitigation,Subsidies|Incentives,Programme,"",Energy Efficiency,Buildings,25/12/2020|released||,Scheme's guidelines|https://www.seai.ie/grants/national-home-retrofit/National-Home-Retrofit-Scheme-Guidelines.pdf|en,,"<div>&nbsp;This scheme is aimed at engaging groups of private households, registered Housing Associations and Local Authorities and Energy Utilities or other organisations who wish to participate in delivering a “One Stop Shop” type service for energy efficiency works.</div>"
Petroleum and Other Minerals Development (Prohibition of Onshore Hydraulic Fracturing) Act 15/2017,legislative,Ireland,IRL,"",Mitigation, Standards and obligations|Regulation,Act,"","Ban, fossil fuels curbing measures",Energy,06/07/2017|Approved||,Link to full text (PDF)|https://data.oireachtas.ie/ie/oireachtas/act/2017/15/eng/enacted/a1517.pdf|en;Link to explanatory memorandum|https://data.oireachtas.ie/ie/oireachtas/bill/2016/37/eng/memo/b3716d-memo.pdf|en,,<div>This document amends the Petroleum and Other Minerals Development Act 1960 to prohibit the exploration for and extraction of onshore petroleum by means of hydraulic fracturing. The decision is notably motivated by climate change mitigation motivations.<br><br>The Climate Action and Low Carbon Development (Amendment) Bill of 2021 extends the ban to all licences for new oil and natural gas exploration.</div>
Reducing Israeli Dependence on Petroleum-Based Fuels in Transportation - Government Resolution 5327,executive,Israel,ISR,"",Mitigation,Designing processes|Governance and planning;Developing plans and strategies|Governance and planning,Resolution,"","Institutions / Administrative Arrangements, Transportation",Transportation,13/01/2013|Law passed||,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcTBKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--bbe6a4772ee7c0c04d332a92ebcdcfc2c6cedcd6/f|,,"<div>This resolution reinforces the following resolutions:</div><ul><li>National Plan for Reducing Global Dependence on Oil for Transportation - Government Resolution 2790 (February 2010)</li><li>Establishing a national effort to develop technologies for reducing global use of oil in transportation and reinforcement of high-tech industries in the sphere - Government Resolution 1354 (January 2011)</li></ul><div>&nbsp;It aims to reduce the proportion of petroleum-based fuels in transportation between 2013 and 2025, to about 30% by 2020, and approximately 60% by 2025, in relation to the forecasted consumption for those years, as long as the transition is economically viable - by simplifying regulatory processes, establishing new regulations and policies, and accelerated regulatory incentives and support for technological demonstrations and field tests for alternative fuels.<br>&nbsp;The resolution lays out a governmental action plan, including, among others -</div><ul><li>Promoting CNG buses</li><li>Completing standardisation of fuel alternatives</li><li>Formulating, in co-operation with the Budget Department of the Ministry of Finance and the Tax Authority, an outline for regulation and policies for the new forms of transportation that reduce use of private transportation in cities and at their entry-points</li><li>Examining methods to increase competitiveness in fuel market</li><li>Instructing the Tax Authority to examine adapting green taxation policy in order to integrate flex fuel vehicles in Israel</li><li>Advancing field trials and pilot projects to demonstrate and prove the economic and operational feasibility of petroleum alternatives in transportation in Israel. This has been budgeted with ILS60 million (USD15.6 million) by 2018</li><li>Establishing an inter-ministerial team, headed by the Director of the National Plan for Petroleum Alternatives, to formulate a comprehensive policy to encourage introducing petroleum substitute-based transportation into cities, including the necessary infrastructure; the director of the National Plan for Petroleum Alternatives will present progress biannually to the government</li></ul>"
Energy Sources Regulations - The Energy Sources Regulations (Minimal Energetic Efficiency for Indoor Light Bulb),executive,Israel,ISR,"",Mitigation,Standards and obligations|Regulation,Regulation/Rules,"",Energy Demand,Energy,08/02/2012|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcFlIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8aecd62a71720e9989d4e5d2e6b67241ef6d32ee/f|;English translation|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcGNIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0938ffa12f0b0907029e75d8c48cd84f39835a3d/f|,,"The regulations set minimum energy efficiency requirements for light bulbs and ban the import, manufacture for use in Israel, sale or marketing of electric light bulbs that don't meet the requirements."
"Environmental Protection Act (pollutant release and transfer - reporting and registry obligations), 2012",legislative,Israel,ISR,"",Mitigation,Designing processes|Governance and planning,Law,"",Energy Demand,"Energy, Industry, Water",01/04/2012|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcXNKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--55ab3e55e37a3f714784d1adc27ea6ea92c348bf/f|,,"This law, modelled on the European Union's PRTR (Pollutant Release and Transfer Register), sets a requirement for industrial plants to report emissions of various pollutants, and to report their annual water and energy consumption, including the method in which the reported figures were calculated.<br />
<br />
It also mandates the setting up of a central public pollutant registry based on the reported data."
"Clean Air Act and the National Plan for reduction of Air Pollution, 2013 (as regulated by government resolution 707 of 25 August 2013)",legislative,Israel,ISR,"",Mitigation,Developing plans and strategies|Governance and planning,Law,"","Institutions / Administrative Arrangements, Energy Supply",Transportation,01/01/2011|Law passed;04/06/2012|Last amendment,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcW9KIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8484b22999a21b5943c0a0bb197ae5139e7948b7/f|,,"<div>The Law provides that a multi-year plan must be established for the reduction of air pollution, including GHG emissions.<br>&nbsp;<br>&nbsp;A national plan for the reduction of air pollution was formulated, and was approved in August 2013. A limited budget of ILS140 million (USD 37.8 billion) for five years was approved for the plan.<br>&nbsp;<br>&nbsp;The plan includes renewing the vehicle scrapping scheme; increased monitoring of quarries; a pilot project for CNG buses, and encouragement of public transportation usage.</div>"
The First National Greenhouse Gas Mitigation Plan and Government decision 2508,executive,Israel,ISR,"",Mitigation,Subsidies|Incentives;Designing processes|Governance and planning; Education and training|Capacity-building; Knowledge generation|Capacity-building,Plan,"","Institutions / Administrative Arrangements, Research And Development, Energy Demand, Transportation","Energy, Residential and Commercial, Transportation",28/11/2010|Law passed||,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaW9JIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e8a1eaa9842e9b9966587e3891b21bd497c9f62c/f|,,"<div>The National Plan for the Reduction of Greenhouse Gas Emissions aims to reduce emissions by 20% compared to a business-as-usual scenario by 2020.<br>&nbsp;<br>&nbsp;The main strategies relate to energy efficiency, green building, and transportation. A key element was a government-sponsored programme of subsidies administered jointly by the Ministry of Environmental Protection and the Investment Centre in the Ministry of Economy, aimed at encouraging investments in energy efficiency and GHG reduction projects and at advancing new Israeli technologies. The Chief Scientist in the Ministry of Economy grants additional assistance (ILS40 million, USD10.4 million) to approved projects, based on new Israeli technologies (first installation).<br>&nbsp;<br>&nbsp;Key elements of the National Plan included:</div><ul><li>Reducing residential energy consumption - (responsibility of Ministry of Energy and Water Resources)</li><li>Support for investments in GHG emissions reductions (responsibility of Ministry of Environmental Protection)</li><li>Support for Israeli technologies and green innovation (responsibility of Ministry of Economy)</li><li>Pilot projects for green building and green building teaching and training (responsibility of Ministry of Environmental Protection)</li><li>Pilot project for retrofits ((responsibility of Ministry of Construction and Housing)</li><li>Education and awareness (responsibility of Ministries of Environmental Protection and Transportation)</li><li>Promotion of energy efficiency (responsibility of Ministries of Environmental Protection and Economy)</li><li>Setting standards for energy efficiency (responsibility of Ministry of Energy and Water Resources)</li><li>Transportation (responsibility of Transportation Ministry) - including energy efficient components in imported cars and eco-driving education</li></ul><div>&nbsp;<br>&nbsp;The approved budget for the implementation of the plan was ILS2.2 billion (USD573 million) until 2020. During 2011-2012 ILS106 million (USD27.6 million) were allocated to 208 projects, with a reduction potential of ~ 450,000 tons of CO2eq per year and a savings potential of approximately ILS100 million (USD26 million) per year in electricity and fuel costs. The programme leveraged investments of more than ILS 550 million (USD143 million) by industries, businesses and municipalities during those first two years.<br>&nbsp;<br>&nbsp;The inter-ministerial committee was set to begin to examine additional reduction measures for the years 2013-2014, including renewable energies. In July 2013, however, the National Plan for the Reduction of GHG Emissions was frozen for three years by the Ministry of Finance, with the passage of the 2013 budget. This meant the cessation of many of the GHG mitigation programs. Only those that were already funded in previous budgets or that could be funded via other means will continue.</div>"
"Energy Resources Regulations (Energy Efficiency and Energy Information of Cooling Appliances), 2004",executive,Israel,ISR,"",Mitigation,Standards and obligations|Regulation,Regulation/Rules,"",Energy Demand,Energy,01/01/2004|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa0lIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--aea931e1ef6c897ecefb949d76bbc1b04c49a7b1/f|;English translation|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa01IIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--380d6419d25123f3f72c1d6fdd39e811c603c059/f|,,"The regulations set energy efficiency standards for air conditioners, refrigerators and freezers, preventing the manufacturing, sale, import, marketing or exhibition of appliances which fail to meet the standard.<br />
<br />"
Energy Resources Regulations (Energy Efficiency of Electrical Induction Motors) 2004,executive,Israel,ISR,"",Mitigation,Standards and obligations|Regulation,Regulation/Rules,"",Energy Demand,Energy,25/12/2004|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdmtHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--947433082dd396fab7a833d2638c6de9bc3c4595/f|;English translation|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdm9HIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a02711ddef3cd8c93aacc504e8d07a2d60e64e9d/f|,,"The regulations set energy efficiency standards for induction motors, preventing the manufacturing, sale, import, marketing or exhibition of Three-phase asynchronous electrical induction motors if they fail to meet the standards set in the regulations."
"Energy Sources Regulations (Monitoring Energy Consumption Efficiency, 1993)",executive,Israel,ISR,"",Mitigation,Designing processes|Governance and planning;Monitoring and evaluation|Governance and planning; Education and training|Capacity-building,Regulation/Rules,"","Institutions / Administrative Arrangements, Energy Demand",Energy,25/12/1993|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcmtHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--593c8f1251b99506ce79c5071ef9888c380df348/f|,,"This bills mandates the appointment of an energy efficiency monitor in any plant whose annual energy consumption is less than 300 tonne-equivalent fuel oil of other fuels, or any corporation established by law or pursuant to a law unrelated to its energy consumption; the person responsible must be a graduate of an energy commissioners' course at an approved institution or have passed a test by the experts' committee that appointed the commissioner.<br />
<br />
The person in charge will be responsible for ensuring speedy repair of faults resulting in loss of energy, to prevent supply of energy to where it is not needed, to take actions to maximise energy efficiency, to guarantee installation of monitoring equipment to train and educate employees etc."
Energy Resources Regulations (Performing a Study to Find a Potential to Energy Conservation) 1993,executive,Israel,ISR,"",Mitigation,Standards and obligations|Regulation;Monitoring and evaluation|Governance and planning,Regulation/Rules,"",Energy Demand,Energy,25/12/1993|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcFVHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3fc26241b219863fc669c21ee2c8a1fea04da755/f|;English translation|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcFlHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--b62e6de121bf53bd7f7fb797658799e615e29aeb/f|,,"The regulations instruct plants whose annual energy consumption is less than 2,000 tonne-equivalent fuel oil of other fuels or electricity, to perform every five years a study to find potential energy conservation measures and to update it annually until a new study is undertaken."
The Energy Resources Act 1989,legislative,Israel,ISR,"",Mitigation,Standards and obligations|Regulation;Monitoring and evaluation|Governance and planning,Law,"",Energy Demand,Energy,31/12/1989|Law passed;14/03/2011|Last amendment,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcUlKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--d1d737bbf56ee65d9f8c96b8894b8beade73e4de/f|;English translation|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcU1KIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--aad80e3c9980331494782897e7f3bb4bc40af899/f|,,"The Act requires the government to authorise, by June 2011, a national energy efficiency programme, to update it and to report annually on progress on its implementation.<br />
<br />
The Act sets an incentive to publicly-funded institutions, according to which any savings which were achieved thanks to energy efficiency measures, will be added to the institution's budget.<br />
<br />
The act allows the Minister of Energy and Water and the Minister of Finance to put forth regulations regarding ways to promote energy efficiency in the private and public sectors."
Government Decision No. 1403: National Plan for Implementation of the Greenhouse Gas Emissions Reduction Targets and for Energy Efficiency,executive,Israel,ISR,Mitigation,Mitigation,Taxes|Incentives;Subsidies|Incentives;Designing processes|Governance and planning;Developing plans and strategies|Governance and planning;Provision of climate finance|Direct investment,Plan,"","Institutions / Administrative Arrangements, Carbon Pricing, Energy Supply, Energy Demand, Transportation","Energy, Residential and Commercial",10/04/2016|Law passed||,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcklIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e26f02a57d3db0f77ebb6e27bafdcad00a674291/f|,,"<div>Israel's Cabinet issued decision n. 1403 on April 10, 2016 which officialises the National Plan for Implementation of the Greenhouse Gas Emissions Reduction Targets and for Energy Efficiency. The decision exposes the numerous emissions reductions and energy efficiency targets laid out in a <a href=""http://www.sviva.gov.il/English/env_topics/climatechange/NatlEmissionsReductionPlan/Pages/default.aspx"">process</a> that originated in Government decision n. 542 of September 2015 and how those targets shall be attained. It also names institutions that shall pursue the analytical and managerial tasks needed to finance the transition, amend laws and take other measures to reach the overall emissions and efficiency targets.<br>&nbsp;<br> The Plan gives directions to reducing electricity consumption via setting up an advisory team to the Finance Minister and the Accountant General to consult on the objective of granting NIS 500 million over ten years for investment loans in energy efficiency and greenhouse gases emissions reductions. The grants program in energy efficiency will be operated by the Investment Centre and the National Authority for Technology and Innovation. The decision stipulates that grants will be awarded on a competitive basis over the economic performance of emissions reduction per unit of electricity saved. The Ministry of Finance alone shall allocate a budget of NIS 300 million.<br>&nbsp;<br> The decision tasks the Ministry of Energy to: 1) provide a multi-year plan for energy efficiency for 2030, 2) evaluate how to reduce electricity consumption, 3) amend the law accordingly to institute a mechanism for generating units of energy saved (Negawatts) in energy supply and demand, and to use electricity bills as a clearinghouse for repayment of loans, taking into consideration financial exposure of electricity providers. The decision also charges the Finance Minister in concentration with the Energy Minister to consider an update in tax policy regarding the deprecation for energy-saving products. Photovoltaic commercial facilities in particular will be granted a tax benefit in form of an accelerated depreciation at a 20 % rate over a three-year period.<br>&nbsp;<br> In terms of energy efficiency in buildings, the Plan urges the Energy Minister, the Environmental Protection Minister, the Construction and Housing Minister, and the Finance Minister to evaluate how to update the Energy Sources Law of 1989 to establish energy ratings for new residential buildings and offices based on Israeli Standard 5282. The Housing and Energy Ministers must explain how to achieve the emissions reduction target of of 5.9 M tCO2e by 2030 in the building sector, notably by 1) increase the number of new buildings built under the country's principal green building standard, SI 5281, and 2) assess technical means.<br>&nbsp;<br> Other measures in the Plan include a confirmation of the governmental efforts to achieve a 10 % target for electricity generation from renewables by 2020, in accordance with Government Decision 4450 of January 2009.</div>"
"The Energy Sources Regulations (Maximum Electric Output for a Television Receiver), 2011",executive,Israel,ISR,"",Mitigation,Standards and obligations|Regulation,Regulation/Rules,"",Energy Demand,"",11/03/2011|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcVVKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--e8b80efa50de340f4700ddaa17358c24061fad95/f|,,"The regulations set forth a maximum electric output for televisions, including full HD ones."
"Energy Sources Regulations (Energy Efficiency, Energy Markings and Energy Ratings Of Air Conditioners), 2004",executive,Israel,ISR,"",Mitigation,Standards and obligations|Regulation,Regulation/Rules,"",Energy Demand,Energy,02/01/2004|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcVFKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--455f2330cd7d09af96a97305afb1f46ed94fcf06/f|,,Regulations 5765-2004 lay out a number of measures to legally frame energy efficiency objectives for air conditioners in Israel. The minimum energy efficiency duty details the selling conditions and refers to sub-regulations with regards to imports. The energy market duty clause stipulates that devices must be presented and sold with an official energy label on it indicating the energy rating score approved by a commissioner.
Energy Resources Regulations (Testing Energy Efficiency of Pumping Installations) 2004,executive,Israel,ISR,"",Mitigation,Standards and obligations|Regulation,Regulation/Rules,"",Energy Demand,"Energy, Water",25/12/2004|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcUVKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--6e7666c80f0c306fdd9a995bc4ae028928bb8fd8/f|,,"The regulations set energy efficiency standards for induction motors, preventing the manufacturing, sale, import, marketing or exhibition of Pumps (installations composed of an electrical motor and water pump with an electrical consumption of 150,000 KWH per year or more), if they fail to meet the standards set in the regulations."
"Energy Resources Regulations (Examining the efficient combustion of Oil or Gas Heaters), 2004",executive,Israel,ISR,"",Mitigation,Standards and obligations|Regulation,Regulation/Rules,"",Energy Demand,"Energy, Transportation, Water",25/12/2004|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbTRKIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9c27eb3b71fdebc94551f3729fa23109d39bc354/f|,,"The regulations set energy efficiency standards for induction motors, preventing the manufacturing, sale, import, marketing or exhibition of Boilers or generators for hot water, hot air or thermal oil with an output greater than 580 kilowatts, if they fail to meet the standards set in the regulations."
"Energy Resources Regulations (Energy labeling of electric heating furnaces), 1993",executive,Israel,ISR,"",Mitigation,Standards and obligations|Regulation,Regulation/Rules,"",Energy Demand,Energy,25/12/1993|Law passed,Full text|https://www.google.co.uk/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwi57cqZ2vnTAhXQZ1AKHY0xB9sQFggjMAA&url=http%3A%2F%2Fenergy.gov.il%2FEnglish%2FLegislationLibraryE1%2FECElectricHeating.doc&usg=AFQjCNFx3X4ZYayQV9AGtfAHhNAHklWHWA&sig2=Q54A9mg0pnDP8bBJk9RvGg(18.05.17)|,,Energy efficiency labelling requirements are set for electric heating furnaces and induction motors.
Planning and Building Regulations 2016,executive,Israel,ISR,"",Mitigation,Standards and obligations|Regulation,Out Of Date,"",Energy Demand,"Energy, Residential and Commercial, Water",25/12/2016|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdWNGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8cc0736bcc3186425f55fbeeaf935ddc85f06c39/f|,,This document replaces the Planning and Construction Regulations 1970. It notably regulates solar water heaters for all residential buildings.
"Drainage and Flood Control Law, 5718-1957",legislative,Israel,ISR,"",Adaptation,Standards and obligations|Regulation,Law,"","Adaptation, Water Management","Agriculture, Health, Water",25/12/1957|Law passed,full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaElGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--74973d7c25af3436f56d0bcb86c55a922893fa8f/f|,,"The Drainage and Flood Control Law of 1957 regulates operations aimed at concentrating, storing, conveying or removing surface or other water harmful or likely to be harmful to agriculture, public health, the development of the country or the maintenance of regular services in the State, the drying of marshes and protection from and prevention of flooding, but does not regulate the treatment of sewage water. The Law contains 63 articles, divided into 5 Chapters."
"Drainage and Flood Control Ordinance (Establishment of Drainage Authorities), 1960",executive,Israel,ISR,"",Adaptation,Designing processes|Governance and planning,Decree/Order/Ordinance,"","Adaptation, Water Management","",25/12/1960|Law passed,Drainage ordinance|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaE1GIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--cf356cfa8e48aaf2b8267b2e0a3f0a0c85284baf/f|,,"<div>The Drainage and Flood Control Ordinance of 1960 makes provisions for the establishment and management of drainage authorities for the areas listed in Annex 1. The Ordinance contains 62 articles, divided into 6 Chapters: Preliminary (1), Authority Members (2), Administration (3), Committees (4), employees (5) and Various Orders (6). <strong>Note: As the previous one, I included it because of the hazards, though it doesn't specifically mention climate change, might be out of scope. Also, the text is in Hebrew and the google translation didn't make much sense, we will need to get a proper translation in order to analyse.</strong></div>"
Israel National Plan for the Implementation of the Paris Agreement,executive,Israel,ISR,"",Mitigation,"Education and training|Capacity-building;Designing processes|Governance and planning; Monitoring, Reporting, Verification|Governance and planning; International cooperation|Governance and planning",Plan,"","Industry, Mitigation","",01/09/2016|Law passed,full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaWdGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--79003da0d11b064dda8bee521836af18346225ee/f|,,"This document outlines Israel's plan for implementation of the Paris Agreement, signed by Israel in April 2016, in relation to the following central subjects: i) Reduction of GHG emissions, the country set a national target of reducing GHG emissions to 8.8 tons CO2 equivalent per capita by 2025 and 7.7 tons CO2e per capita by 2030; ii) Monitoring and Control; iii) International Financing; iv) Accompanying the International Negotiations; v) Training Program.

The main focus of the Plan is mitigation."
