Policy,Year,Country,Policy_Content,single_url_2,Scope,Document_Type,Economic_Sector,Energy_Types,Source
"Decision of the Ministry of Industry and Trade No. 31/2006/QD-BCN of 2006 Promulgating the Regulation on Inspection of Electricity Activities, Electricity Use and Settlement of Disputes Related to Electricity Sale and Purchase Contracts",2006,VIET NAM,"A Decision promulgating the Regulation on inspection of electricity activities, electricity use and settlement of disputes related to electricity sale and purchase contracts.",https://policy.asiapacificenergy.org/node/1181,National,"Rule/Regulation, Other",Power,Power,APEP
Decision of the Prime Minister No. 148/2006/QD-TTg of 2006 Establishing the Parent Company - Vietnam Electricity (EVN),2006,VIET NAM,A Decision establishing the parent company - Vietnam Electricity (EVN).,https://policy.asiapacificenergy.org/node/1180,National,Other,Power,Power,APEP
Decision of the Prime Minister No. 147/2006/QD-TTg of 2006 Approving the Scheme on the Pilot Formation of the Vietnam Electricity Group,2006,VIET NAM,A Decision approving the scheme on the pilot formation of the Vietnam Electricity Group.,https://policy.asiapacificenergy.org/node/1179,National,Other,Power,Power,APEP
"Circular of the Ministry of Finance No. 94/2005/TT-BTC of 2005 Amending and Supplementing the Finance Ministry Circular No. 05/2000/TT-BTC of January 12, 2000, Guiding the Calculation, Declaration and Payment of Value Added Tax in the Electricity Service",2006,VIET NAM,"A Circular guiding the calculation, declaration and payment of value added tax in the electricity service.",https://policy.asiapacificenergy.org/node/1178,National,Other,Power,Power,APEP
"Decision of the Prime Minister No. 258/2005/QD-TTg of 2005 Providing for the Establishment of the Electricity Regulatory Authority of Vietnam under the Ministry of Industry as well as its Functions, Tasks, Powers and Organizational Structure",2005,VIET NAM,"A Decision providing for the establishment of the Electricity Regulatory Authority of Vietnam under the Ministry of Industry as well as its functions, tasks, powers and organizational structure.",https://policy.asiapacificenergy.org/node/1177,National,Other,Power,Power,APEP
Joint Circular of the Ministry of Industry-Ministry of Finance No. 04/2003/TTLT/BCN-BTC of 2003 Guiding the Management and Use of Fines for Breaches of Electricity Sale and Purchase Contracts,2004,VIET NAM,A Joint Circular of the Ministry of Industry-Ministry of Finance No. 04/2003/TTLT/BCN-BTC of 2003 guiding the management and use of fines for breaches of electricity sale and purchase contracts.,https://policy.asiapacificenergy.org/node/1176,National,Other,Power,Power,APEP
Decree of the Government No. 169/2003/ND-CP of 2003 on Electricity Safety,2004,VIET NAM,"This Decree provides for electricity safety in the production, transmission, distribution and use of electricity, aiming to ensure the safety for human beings as well as electric equipment, facilities and works.",https://policy.asiapacificenergy.org/node/1175,National,Decree,Power,Power,APEP
"Decision of the Prime Minister No. 255/2003/QD-TTg of 2003 Transferring Traffic Roads, Electricity Systems, Irrigation Works, Schools and Dispensaries of State-run Agricultural and Forestry Farms to Localities",2003,VIET NAM,"A Decision transferring traffic roads, electricity systems, irrigation works, schools and dispensaries of State-run agricultural and forestry farms to localities.",https://policy.asiapacificenergy.org/node/1174,National,Other,"Power, Multi-Sector",Power,APEP
Decision of the Prime Minister No. 193/1999/QD-TTg of 1999 on the Selling Prices of Electricity,1999,VIET NAM,"This Decision stipulates in detail the selling prices of electricity used for daily life by family households that have separate voltage meters and sign contracts directly with the electricity supply service; the wholesale prices of electricity for daily life in rural areas according to the head voltage meters at the transformer stations of communes, cooperatives, villages or hamlets; the electricity selling prices applicable to hospitals, schools and non-business administrative agencies; and the selling prices of electricity for production activities.",https://policy.asiapacificenergy.org/node/1173,National,Other,Power,Power,APEP
Joint Circular of the Government Price Committee-Ministry of Industry No. 01/1999/TTLT/BVGCP-BCN of 1999 Guiding the Application of the Selling Prices of Electricity Sold to Rural Households in Service of Their Daily Life,1999,VIET NAM,This Circular provides detailed guidance on the objects and scope of application of the selling prices of electricity; structure and method of calculation of prices of electricity sold to rural households; the management of electricity sale; and the responsibility for management of electricity in rural areas.- (Summary),https://policy.asiapacificenergy.org/node/1172,National,Other,Power,Power,APEP
"Decree of the Government No. 115/2009/ND-CP of 2009 Amending and Supplementing a Number of Articles of the Government's Decree No. 48/2000/ND-CP Detailing the Petroleum Law and the Regulation on Bidding for Petroleum Survey, etc.",2010,VIET NAM,"This Decree amends and supplements a number of articles of the Government's Decree No. 48/2000/ND-CP of September 12, 2000, detailing the Petroleum Law (below referred to as Decree No. 48/2000/ND-CP), and the Regulation on bidding for petroleum survey, exploration and exploitation promulgated together with Decree No. 34/2001/ND-CP (below referred to as the bidding regulation).",https://policy.asiapacificenergy.org/node/1171,National,"Decree, Law",Energy,"Oil, Gas",APEP
Decree of the Government No. 107/2009/ND-CP of 2009 on Trading of Liquefied Petroleum Gas,2010,VIET NAM,This Decree provides for activities of trading in liquefied petroleum gas and conditions on liquefied petroleum gas trading on the market.,https://policy.asiapacificenergy.org/node/1170,National,Decree,Energy,"Oil, Gas",APEP
Decree of the Government No. 100/2009/ND-CP of 2009 Providing for the Collection of a Surchage on the Volume of Oil Divided as Profits to Petroleum Contractors when the Price of Crude Oil Increases,2010,VIET NAM,This Decree provides for the collection of a surcharge on the volume of oil divided as profits to petroleum contractors (below referred to as contractors) when the price of crude oil increases.,https://policy.asiapacificenergy.org/node/1169,National,Decree,Energy,Oil,APEP
"Decree of the Government No. 17/2009/ND-CP of 2009 Amending and Supplementing a Number of Articles of Decree No. 121/2007/ND-CP of July 25, 2007, Providing for Offshore Direct Investment in Petroleum Activities",2009,VIET NAM,"A Decree to amend and supplement a number of articles of Decree No. 121/2007/ND-CP of July 25, 2007, providing for offshore direct investment in petroleum activities.",https://policy.asiapacificenergy.org/node/1168,National,Decree,Energy,Oil,APEP
Law No. 10/2008/QH12 of 2008 Amending and Supplementing a Number of Articles of the Petroleum Law,2009,VIET NAM,A Law to amend and supplement a number of articles of the Petroleum Law.,https://policy.asiapacificenergy.org/node/1167,National,Law,"Energy, Power","Coal, Oil, Power, Gas",APEP
Decree of the Government No. 121/2007/ND-CP of 2007 Providing for Offshore Direct Investment in Petroleum Activities,2007,VIET NAM,This Decree provides for offshore direct investment in petroleum activities by investors based in Vietnam.,https://policy.asiapacificenergy.org/node/1166,National,Decree,Energy,"Oil, Gas",APEP
Decree of the Government No. 145/2006/ND-CP of 2006 Providing for the Sanctioning of Administrative Violations in the Petroleum Domain,2006,VIET NAM,"A Decree providing for administrative violations, forms, levels and competence of, and procedures for the sanctioning of administrative violations in the petroleum domain.",https://policy.asiapacificenergy.org/node/1165,National,Decree,Energy,Oil,APEP
Decision of the Ministry of Trade No. 422/2003/QD-BTM of 2003 Promulgating the Regulation on Investment in Building Petroleum Depots Nationwide,2003,VIET NAM,"A Decision to promulgate the Regulation on investment in building petroleum depots nationwide. The Regulation establishes the State management principles, criteria and requirements which investors must comply with when they prepare for investment in building petroleum depots in the Vietnamese territory.",https://policy.asiapacificenergy.org/node/1164,National,"Rule/Regulation, Other",Energy,Oil,APEP
Decision of the Prime Minister No. 93/2002/QD-TTg of 2002 Approving the Planning on Development of The National System of Petroleum Depots till 2010,2002,VIET NAM,A Decision to approve the planning on development of the national system of major petroleum reception depots and entrepots till 2010.,https://policy.asiapacificenergy.org/node/1163,National,Other,Energy,Oil,APEP
Decision of the Prime Minister No. 116/2001/QD-TTg of 2001 on a Number of Preferences and Incentives for Overseas Investment in the Field of Petroleum Activities,2001,VIET NAM,"A Decision to apply preferences and incentives to Vietnamese enterprises which invest abroad in form of their 100% investment capital or capital contribution according to the proportion of their participation in the field of petroleum activities. These shall include oil and gas prospection, exploration and exploitation as well as field development, as well as activities in direct service of petroleum activities, hereafter called petroleum projects for short.",https://policy.asiapacificenergy.org/node/1162,National,Other,Energy,"Oil, Gas",APEP
Law on Foreign Investment in Vietnam of 1996 (2000 Ed.),2000,VIET NAM,"The Law on Foreign Investments in Vietnam makes provisions for foreign direct investment in the Socialist Republic of Vietnam. The Law was issued to expand economic co-operation with foreign countries and to support the cause of modernization, industrialization and development of the national economy on the basis of the efficient exploitation and utilization of national resources.",https://policy.asiapacificenergy.org/node/1161,National,Law,"Energy, Multi-Sector","All, Oil, Gas",APEP
Decree of the Government No. 22/1999/ND-CP of 1999 Providing for Investment Abroad by Vietnamese Enterprises,1999,VIET NAM,"A Decree creating conditions for Vietnamese enterprises to invest abroad and helping to broaden and increase the efficiency of economic, technical and trade cooperation with foreign countries.",https://policy.asiapacificenergy.org/node/1160,National,Decree,"Energy, Multi-Sector","All, Oil, Gas",APEP
Decision of the Prime Minister No. 111/2000/QD-TTg of 2000 on Petroleum Business Management,2000,VIET NAM,"A Decision on petroleum business management, providing for maximum retail prices and taxes.",https://policy.asiapacificenergy.org/node/1159,National,Other,Energy,Oil,APEP
Decree of the Government No. 48/2000/ND-CP of 2000 Detailang the Implementation of the Petroleum Law,2000,VIET NAM,"This Decree details the implementation of the Petroleum Law passed on July 6, 1993 by the IXth National Assembly of the Socialist Republic of Vietnam and the Law Amending and Supplementing a Number of Articles of the Petroleum Law passed on June 9, 2000 by the Xth National Assembly of the Socialist Republic of Vietnam (the Petroleum Law).",https://policy.asiapacificenergy.org/node/1158,National,"Decree, Law",Energy,"Oil, Gas",APEP
Decision of the Prime Minister No. 81/2000/QD-TTg of 2000 On Petroleum Business Management,2000,VIET NAM,A Decision on petroleum business management with details on retail prices.,https://policy.asiapacificenergy.org/node/1157,National,Other,Energy,Oil,APEP
Law No. 19/2000/QH10 of 2000 Amending and Supplementing a Number of Articles of the Petroleum Law,2000,VIET NAM,A Law to amend and supplement a number of articles of the Petroleum Law.,https://policy.asiapacificenergy.org/node/1156,National,Law,Energy,"Oil, Gas",APEP
Decision of the Prime Minister No. 42/2000/QD-TTg of 2000 on Petroleum Business Management,2000,VIET NAM,"A Decision on petroleum business management (maximum retail prices, charges, trade etc.).",https://policy.asiapacificenergy.org/node/1155,National,Other,Energy,Oil,APEP
"Decision of the Prime Minister No. 216/1998/QD-TTg of 1998 Encouraging Investment in Petroleum Activities in Deep Sea, Offshore Areas and Areas with Particularly Difficult Geographical, Geological, Economic and Technical Conditions",1998,VIET NAM,"A Decision to encourage investment in petroleum activities in deep-sea, offshore areas and areas with particularly difficult geographical, geological, economic and technical conditions.",https://policy.asiapacificenergy.org/node/1154,National,Other,Energy,"Oil, Gas",APEP
Decision of the Prime Minister No. 163/1998/QD-TTg of 1998 Promulgating the Regulation on Petroleum Resources Exploitation,1998,VIET NAM,"This Regulation details the implementation of provisions relating to oil and gas exploitation in Decree No. 84-CP of December 17, 1996 of the Government.",https://policy.asiapacificenergy.org/node/1153,National,Other,Energy,"Oil, Gas",APEP
Law No. 45/2005/QH11 of 2005 on Import Tax and Export Tax,2006,VIET NAM,"This Law provides for import tax and export tax applicable to goods imported or exported through Vietnam's border-gates or borders; goods sold, purchased or exchanged by border residents and other sold, purchased or exchanged goods, which are considered import or export goods.",https://policy.asiapacificenergy.org/node/1152,National,Law,"Energy, Multi-Sector","All, Oil, Gas",APEP
Law on Petroleum 1993 (2000 Ed.),2000,VIET NAM,"This Law governs Petroleum exploration and production activities carried out within the territory, the exclusive economic zones and the continental shelf of the Socialist Republic of Vietnam. It also entails amendments as of year 2000.",https://policy.asiapacificenergy.org/node/1151,National,Law,"Energy, Transport","Oil, Gas",APEP
Circular of the Ministry of Finance No. 35/1998/TT-BTC of 1998 Guiding the Import Tax Exemption Procedures Applicable to Organizations and Individuals Engaged in Oil and Gas Activities under the Law on Petroleum,1998,VIET NAM,A Circular to provide a guidance on the import tax exemption for organizations and individuals conducting oil and gas activities under oil and gas contracts in accordance with the Law on Petroleum.,https://policy.asiapacificenergy.org/node/1150,National,Other,Energy,"Oil, Gas",APEP
Decree of the Government No. 24/2007/ND-CP of 2007 Detailing the Implementation of the Law on Enterprise Income Tax,2007,VIET NAM,A Decree up to define enterprise income tax to be paid by organizations and individuals engaged in goods production and trading or service provision (hereinafter referred collectively to as business establishments) with incomes.,https://policy.asiapacificenergy.org/node/1149,National,"Decree, Law",Multi-Sector,All,APEP
"Decision of the Prime Minister No. 177/2007/QD-TTg of 2007 Approving the Scheme on Development of Biofuels up to 2015, with a Vision to 2025",2007,VIET NAM,"A Decision of the Prime Minister of Government to approve the scheme on development of biofuels up to 2015, with a vision to 2025 (below referred to as the scheme for short) .",https://policy.asiapacificenergy.org/node/1148,National,Other,"Energy, Multi-Sector","Renewable, Bioenergy",APEP
"Decree of the Government No. 81/2009/ND-CP of 2009 Amending or Supplementing a Number of Articles of the Government's Decree No. 106/2005/ND-CP of August 17, 2005, Which Details and Guides a Number of Articles of the Electricity Law etc.",2009,VIET NAM,"A Decree to amend and supplement a number of articles of the Government's Decree No. 106/2005/ND-CP of August 17, 2005, detailing and guiding the implementation of a number of articles of the Electricity Law and regarding the safe protection of high-voltage power grid works.",https://policy.asiapacificenergy.org/node/1147,National,Decree,Power,Power,APEP
Decree of the Government No. 106/2005/ND-CP of 2005 Detailing and Guiding the Implementation of a Number of Articles of the Electricity Law on Protection of Safety of High-voltage Power Grid Works,2005,VIET NAM,This Decree was made in 2005 and it details and guides the implementation of a number of articles of the Electricity Law on protection of safety of high-voltage power grid works.,https://policy.asiapacificenergy.org/node/1146,National,Decree,Power,Power,APEP
Decision of Industry and Trade No. 15/2007/QD-BCT of 2007 Promulgating the Electricity Wholesale Price Bracket Applicable to Industrial Parks,2007,VIET NAM,A Decision to promulgate the electricity wholesale price bracket applicable to industrial parks.,https://policy.asiapacificenergy.org/node/1145,National,Other,"Power, Industry",Power,APEP
"Decision of the Ministry of Industry and Trade No. 06/2007/QD-BCT of 2007 Promulgating the Regulation on Contents of, and the Order and Procedures for Formulating, Appraising and Approving the Planning on Locations for Construction of Electricity Center",2007,VIET NAM,"A Decision promulgating the Regulation on contents of, and the order and procedures for formulating, appraising and approving the Planning on locations for construction of electricity Centers (referred to as the EC Planning for short).",https://policy.asiapacificenergy.org/node/1144,National,"Rule/Regulation, Other",Power,"Power, Nuclear, Renewable, Hydropower",APEP
"Decision of the Prime Minister No. 110/2007/QD-TTg of 2007 Approving the Planning on National Electricity Development in the 2006-2015 Period, with a Vision to 2025 Taken into Consideration",2007,VIET NAM,"A Decision approving the Planning on national electricity development in the 2006-2015 period, with a vision to 2025 taken into consideration.",https://policy.asiapacificenergy.org/node/1143,National,Other,Power,"Power, Renewable, Hydropower",APEP
Technical Regulations for Rural Electrification/Electric Network,2006,VIET NAM,"The Technical Regulations on Rural Electrification were issued for uniform application nationwide and were sponsored by the Government of Sweden. The Regulations aim at the following: - Rural distribution networks (medium and low voltages and off-grid systems) will be rehabilitated and developed to meet with safety and reliability standards, meanwhile ensuring environmental protection, cost effectiveness and easy implementation. - Ensuring the development of the electricity of Vietnam in the transition period that is able to harmonise the current rural electricity infrastructure with the trend of electrical technology development on the world. This new Technical Regulation on Rural Electrification (QDKT.DNT-2006) was developed under the Vietnam – Sweden Rural Energy Programme/ Area 2 - Technical Standards for Rural Electrification/ Electric Networks (2005-2006) and it is an output of the cooperation between the Ministry of Industry and Swedish International Development Agency (SIDA).",https://policy.asiapacificenergy.org/node/1142,National,Rule/Regulation,Power,Power,APEP
Decision of the Prime Minister No. 26/2006/QD-TTg of 2006 Approving the Roadmap and Conditions for Formation and Development of Different Levels of the Electricity Market in Vietnam,2006,VIET NAM,A Decision to approve the roadmap and conditions for formation and development of different levels of the electricity market in Vietnam.,https://policy.asiapacificenergy.org/node/1141,National,"Plan/Strategy, Other",Power,Power,APEP
"Presidential Decree No. 1645 of 1975 Amending Presidential Decree No. 269, Increasing the Capitalization and Broadening the Lending and Regulatory Powers of the National Electrification Administration and for Other Purposes",1975,PHILIPPINES,"Amendment to Presidential Decree No. 269, increasing the capitalization and broadens the lending and regulatory powers of the National Electrification Administration.",https://policy.asiapacificenergy.org/node/1139,National,Decree,Power,Power,APEP
National Electrification Administration (NEA) Roadmap,2010,PHILIPPINES,General overview of the National Electrification Administration Roadmap to implement the Rural Electrification Programme and achieve total electrification of the countryside by 2020.,https://policy.asiapacificenergy.org/node/1138,National,Plan/Strategy,Power,"Power, Renewable, Solar",APEP
Decision of the Prime Minister No. 80/2006/QD-TTg of 2006 Approving the 2006-2010 Electricity-Saving Program,2006,VIET NAM,A Decision of the Prime Minister of Government approving the 2006-2010 electricity-saving program.,https://policy.asiapacificenergy.org/node/1136,National,"Programme, Other",Power,"Power, Renewable, Solar, Other",APEP
Decree of the Government No. 84/CP of 1996 Detailing the Implementation of the Petroleum Law,1996,VIET NAM,"This Decree provides details for the implementation of the Petroleum Law of 1993 and it applies to activities of prospecting and exploring oil and gas; developing oil and gas fields; exploiting oil and gas, including processing, gathering, storing and transporting oil and gas from the exploitation area to the place of oil and gas delivery and disposal.",https://policy.asiapacificenergy.org/node/1135,National,"Decree, Law",Energy,"Oil, Gas",APEP
Decree of the Government No. 68/1998/ND-CP of 1998 Detailing the Implementation of the Ordinance on Natural Resouce Tax (Amended),1998,VIET NAM,"A Decree that affirms that all organizations and individuals of all economic sectors, that exploit natural resources in all forms shall have to pay natural resource tax.",https://policy.asiapacificenergy.org/node/1134,National,"Decree, Other",Energy,"Coal, Oil, Gas",APEP
Circular of the Ministry of Finance No. 05/2006/TT-BTC of 2006 Guiding Natural Resource Tax on Natural Water Used for Hydroelectricity Generation,2006,VIET NAM,A Circular which guides the calculation and declaration for payment of natural resource tax on natural water used for hydroelectricity generation.,https://policy.asiapacificenergy.org/node/1133,National,Other,Power,"Power, Renewable, Hydropower",APEP
Law No. 07/2003/QH11 of 2003 Amending and Supplementing a Number of Articles of the Value Added Tax Law,2004,VIET NAM,"This Law amends and supplements a number of articles of the Value Added Tax Law of May 10, 1997.",https://policy.asiapacificenergy.org/node/1132,National,Law,"Energy, Power, Multi-Sector","All, Coal, Oil, Power, Gas",APEP
Law No. 13/2008/QH12 of 2008 on Value-Added Tax,2009,VIET NAM,"This Law provides for objects subject and not subject to value-added tax, taxpayers, tax bases, tax calculation methods, and tax credit and refund.",https://policy.asiapacificenergy.org/node/1131,National,Law,"Energy, Multi-Sector","All, Oil, Gas",APEP
Decree of the Prime Minister No. 105/2005/ND-CP of 2005 Detailing and Guiding the Implementation of a Number of Articles of the Electricity Law,2005,VIET NAM,"This Decree details and guides the implementation of a number of articles of the Electricity Law: large power plants of particular significance; the responsibility for investment in the construction of power stations; the management of electricity demands; the conservation of electricity; electricity sale and purchase contracts; the assurance of electric power quality; the metering of electricity, payment of electricity charges, sale and purchase of electricity with foreign countries, electricity prices; electricity activity licenses; electric safety; supports for electricity units and contents of State management of electricity-related activities and electricity use.",https://policy.asiapacificenergy.org/node/1130,National,Decree,Power,"Power, Nuclear, Renewable, Hydropower",APEP
Circular of the Ministry of Industry No. 01/2005/TT-BCN of 2005 Guiding the Application of Electricity-Selling Prices,2005,VIET NAM,"This Circular guides the application of electricity-selling prices under the Prime Minister's Decision No. 215/QD-TTg of December 29, 2004.",https://policy.asiapacificenergy.org/node/1129,National,Other,Power,Power,APEP
Decision of the Prime Minister No. 215/2004/QD-TTg of 2004 on Electricity Selling Prices,2005,VIET NAM,"A Decision to promulgate electricity-selling prices for production, business, daily-life consumption as well as administrative and non-business agencies, under contracts on direct electricity purchase and sale with electricity-retailing units as in the Appendix to this Decision.",https://policy.asiapacificenergy.org/node/1128,National,Other,Power,Power,APEP
Electricity Law No. 28/2004/QH11 of 2004,2005,VIET NAM,"The Electricity Law was issued in 2004. It prescribes the electricity development planning and investment; electricity saving; electricity markets; rights and obligations of organizations and individuals conducting electricity activities and using electricity; protection of electric equipment and facilities, electricity works and electric safety.",https://policy.asiapacificenergy.org/node/1127,National,Law,Power,"Power, Renewable",APEP
"Decision of the Prime Minister No. 176/2004/QD-TTg of 2004 Approving the Strategy on Development of Vietnam Electricity Industry in the 2004-2010 Period, with Orientations Towards 2020",2004,VIET NAM,"A Decision to approve the strategy on development of Vietnam electricity industry in the 2004-2010 period, with orientations towards 2020.",https://policy.asiapacificenergy.org/node/1126,National,"Plan/Strategy, Other",Power,"Power, Renewable, Hydropower",APEP
Decree of the Government No. 74/2003/ND-CP of 2003 Stipulating the Sanctioning of Administrative Violations in the Electricity Domain,2003,VIET NAM,Decree stipulating the sanctioning of administrative violations in the electricity domain.,https://policy.asiapacificenergy.org/node/1125,National,Decree,Power,Power,APEP
"Decision of the Prime Minister No. 40/2003/QD-TTg of 2003 Adjusting a Number of Contents of the Planning on Vietnam's Electricity Development in the 2001-2010 Period, with Prospect till 2020 Taken Into Account",2003,VIET NAM,"A Decision adjusting a number of contents of the planning on Vietnam's Electricity Development in the 2001-2010 period, with prospect till 2020 taken into account.",https://policy.asiapacificenergy.org/node/1124,National,Other,Power,Power,APEP
"Decision of the Ministry of Industry No. 42/2002/QD-BCN of 2002 Promulgating the Regulation on Examination of Electricity Supply and Use, and the Handling of Violations of Electricity Trading Contracts",2002,VIET NAM,This Decision promulgates the Regulation on Examination of Electricity Supply and Use and the Handling of Violations of Electricity Trading Contracts.,https://policy.asiapacificenergy.org/node/1123,National,"Rule/Regulation, Other",Power,Power,APEP
Decision of the Prime Minister No. 124/2002/QD-TTg of 2002 on Electricity Selling Prices,2002,VIET NAM,"A Decision to promulgate the selling prices of electricity in service of production, business, daily life consumption and operation of administrative and non-business agencies. Such prices are applicable to electricity purchase/sale contracts signed directly with the electricity industry as prescribed in the Appendix.",https://policy.asiapacificenergy.org/node/1122,National,Other,Power,Power,APEP
"Decision of the Ministry of Construction No. 27/2002/QD-BCN of 2002 Promugating the Regulation On Conditions, Order and Procedures for Licensing Electricity Activities",2002,VIET NAM,"This Decision provides for the promulgation of the Regulation on conditions, order and procedures for licensing electricity activities.",https://policy.asiapacificenergy.org/node/1121,National,"Rule/Regulation, Other",Power,Power,APEP
"Decision of the Ministry of Industry No. 21/2002/QD-BCN of 2002 Promulgating the Regulation on Contents of, Order and Procedures for, Electricity Development Planning",2002,VIET NAM,"A Decision to promulgate the Regulation on contents of, order and procedures for, electricity development planning. These shall apply to the elaboration, approval and management of the implementation of national electricity development planning, plannings on electricity development in the provinces and centrally-run cities and plannings on electricity development in urban and rural districts, provincial towns and cities.",https://policy.asiapacificenergy.org/node/1120,National,"Rule/Regulation, Other",Power,Power,APEP
Decree of the Government No. 45/2001/ND-CP of 2001 on Electricity Activities and Use,2001,VIET NAM,"This Decree prescribes electricity activities and use and is applicable to all domestic and foreign organizations and individuals in the Socialist Republic of Vietnam, except for cases where the international treaties which the Socialist Republic of Vietnam has signed or acceded to otherwise provide for.",https://policy.asiapacificenergy.org/node/1119,National,Decree,Power,Power,APEP
"Decision of the Prime Minister No. 95/2001/QD-TTg of 2001 Ratifying the Planning on Vietnam Electricity Development in the 2001-2010 Period, with the Prospect Toward 2020 Taken into Account",2001,VIET NAM,"A Decision to ratify the planning on Vietnam electricity development in the 2001-2010 period, with the prospect toward 2020 taken into account (called Electricity Planning V).",https://policy.asiapacificenergy.org/node/1118,National,"Plan/Strategy, Other",Power,"Power, Hydropower, Solar, Wind",APEP
Decision of the Prime Minister No. 22/1999/QD-TTg of 1999 Ratifying The Project On Rural Electricity,1999,VIET NAM,A Decision to ratify the project on rural electricity till the year 2000.,https://policy.asiapacificenergy.org/node/1117,National,"Programme, Other",Power,"Power, Renewable, Bioenergy, Hydropower, Solar, Wind",APEP
Decision of the Prime Minister No. 276/2006/QD-TTg of 2006 on Selling Prices of Electricity,2007,VIET NAM,"A Decision on selling prices of electricity, approving the roadmap for adjustment of electricity prices in the 2007-2010 period. In particular, the policy addresses these topics: 1. The approval of a roadmap for adjustment of electricity prices in the 2007-2010 period; 2. The approval of the plan for adjusting electricity prices in 2007; 3. Retail prices of electricity from January 1, 2007; 4. Provisions regarding electricity production and business units; 5. Organization of implementation and 6. Implementation Effect.",https://policy.asiapacificenergy.org/node/1116,National,Other,Power,Power,APEP
"Decision of the Ministry of Industry No. 45/2006/QD-BCN of 2006 on the Wholesale Prices of Electricity for Rural Areas, Dormitories and Population Quarters",2007,VIET NAM,"Decision to promulgate the wholesale prices of electricity for rural areas, dormitories and population quarters nationwide.",https://policy.asiapacificenergy.org/node/1115,National,Other,Power,Power,APEP
Circular of the Ministry of Industry No. 11/2006/TT-BCN of 2006 Guiding the Application of Selling Prices of Electricity,2007,VIET NAM,"This Circular guides the implementation of selling prices of electricity and of wholesale prices of electricity applicable to rural areas, dormitories and residential quarters.",https://policy.asiapacificenergy.org/node/1114,National,Other,Power,Power,APEP
Decree of the Government No. 14/CP of 1995 Setting Up the Vietnam Electricity Corporation and Issuing Its Statute,1995,VIET NAM,Decree of the Government No. 14/CP of 1995 Setting Up the Vietnam Electricity Corporation and Issuing Its Statute to set up the Vietnam Electricity Corporation.,https://policy.asiapacificenergy.org/node/1113,National,Decree,Power,Power,APEP
"Circular of the Ministry of Industry and Trade No. 23/2014/TT-BCT of 2014 Regulating on Procedure for Self-making, Assessing and Approving Contracts for Designing & Manufacturing Auxiliary Equipment for Thermal Power Plants in Vietnam",2014,VIET NAM,"This Circular promulgates the procedure for making, assessing and approving contracts for designing & manufacturing of auxiliary equipment for thermal power plants in Vietnam between the investors and Vietnamese contractors.",https://policy.asiapacificenergy.org/node/1112,National,Other,Power,Power,APEP
Circular of the Ministry of Industry and Trade No. 32 /2012/TT-BCT of 2012 Providing the Development of Wind Power Projects and the Model Electricity Trading Contract for Wind Power Projects,2012,VIET NAM,A Circular providing for regulations on implementation of wind power projects development and Standardized Power Purchase Agreement ( SPPA) for wind power projects in Vietnam.,https://policy.asiapacificenergy.org/node/1111,National,"Rule/Regulation, Other",Power,"Power, Renewable, Wind",APEP
Decision of the Ministry of Industry and Trade No. 18/2008/QD-BCT of 2008 on Promulgation of Regulation on Avoided Cost Tariff and Standardized Power Purchase Agreement for Small Renewable Energy Power Plants,2009,VIET NAM,This Decision provides for the Promulgation of Regulation on Avoided Cost Tariff and Standardized Power Purchase Agreement for Small Renewable Energy Power Plants.,https://policy.asiapacificenergy.org/node/1110,National,Other,Power,"Power, Renewable",APEP
"Circular of the Ministry of Finance No. 45/2013/TT-BTC of 2013 Guiding Regulation on Management, Use and Depreciation of Fixed Assets",2013,VIET NAM,"This Circular guides regulation on management, use and depreciation of fixed assets. Electrical systems are part of the Type 3 of enterprises's Fixed Assets.",https://policy.asiapacificenergy.org/node/1109,National,Other,"Power, Transport, Multi-Sector",Power,APEP
Law No. 59-2005-QH11 of 2005 on Investment,2005,VIET NAM,The Law No. 59-2005-QH11 on Investments (2005) regulates investment activities for business purposes; the rights and obligations of investors; the guarantee of lawful rights and interests of investors; encouragement of investment and investment incentives; State administration of investment activities in Vietnam and offshore investment from Vietnam.,https://policy.asiapacificenergy.org/node/1108,National,Law,"Energy, Power, Multi-Sector","All, Coal, Oil, Power, Gas",APEP
National Technical Regulation on Energy Efficiency Buildings,2017,VIET NAM,"This National Technical Building Energy Efficiency Building Code provides mandatory technical standards to achieve energy efficiency in the design, new construction or retrofit of civil buildings (office buildings, hotels, hospitals, schools, commercial buildings,, services buildings, apartments buildings, among others), with a gross floor area of 2,500 m2 or larger.",https://policy.asiapacificenergy.org/node/1107,National,Rule/Regulation,"Energy, Power, Building","All, Power, Other",APEP
Decision of the Prime Minister No. 79/2006/QD-TTg of 2006 Approving the National Strategic Program on Energy Saving and Effective Use,2006,VIET NAM,A Decision to approve the national target program on economical and efficient use of energy in the 2006-2015 period.,https://policy.asiapacificenergy.org/node/1106,National,"Plan/Strategy, Programme, Other","Energy, Power","All, Power, Other",APEP
