Country,ID of policy or measure,Name of policy or measure,Description,Geographical_coverage,"Single policy or measure, or group of measures",Report_ID,Policies or measures included in the group,Type of policy instrument,Status of implementation,"Policy impacting EU ETS, ESD or LULUCF emissions",Sector(s) affected,Objective(s),Quantified objective,GHG(s) affected,Total GHG emissions reductions in 2025 (kt CO2eq/y),Total GHG emissions reductions in 2030 (kt CO2eq/y),Total GHG emissions reductions in 2035 (kt CO2eq/y),Total GHG emissions reductions in 2040 (kt CO2eq/y),Entities responsible for implementing the policy (type),Entities responsible for implementing the policy,Implementation period start,Implementation period finish,Is the policy or measure related to a Union policy?,Related Union Policy,Does_the_PaM_relate_to_Air_Pollution_policy?,Projection scenario in which the policy or measure is included,Indicator used to monitor and evaluate progress over time,Contribution to the LTS,General comment,Main reference,URL to main reference,GHG emissions reductions EU ETS in 2025 (kt CO2eq/y),GHG emissions reductions ESR in 2025 (kt CO2eq/y),GHG emissions reductions LULUCF in 2025 (kt CO2eq/y),GHG emissions reductions EU ETS in 2030 (kt CO2eq/y),GHG emissions reductions ESD in 2030 (kt CO2eq/y),GHG emissions reductions LULUCF in 2030 (kt CO2eq/y),GHG emissions reductions EU ETS in 2035 (kt CO2eq/y),GHG emissions reductions ESD in 2035 (kt CO2eq/y),GHG emissions reductions LULUCF in 2035 (kt CO2eq/y),GHG emissions reductions EU ETS in 2040 (kt CO2eq/y),GHG emissions reductions ESD in 2040 (kt CO2eq/y),GHG emissions reductions LULUCF in 2040 (kt CO2eq/y),Explanation of the basis for the mitigation estimates,Factors affected by the PaM,Reference for ex-ante assessment,Web link for ex-ante assessment,Year for which reduction applies (ex post),Average ex post emission reduction (kt CO2eq/y),Reference for ex-post assessment,Web link for ex-post assessment,Projected gross costs (EUR per tonne CO2eq reduced/ sequestered),Projected absolute costs per year (EUR),Year projected cost has been calculated for,Price reference year (projected costs),Projected benefits (EUR per tonne CO2eq reduced/ sequestered),Projected absolute benefit per year (EUR),Projected net costs (EUR per tonne CO2eq reduced/ sequestered),Projected net cost per year (EUR),Description of projected cost estimates,Description of non-GHG mitigation projected benefits,Reference for projected costs and benefits,Web link for projected costs and benefits,Realised gross costs (EUR per tonne CO2eq reduced/ sequestered),Realised absolute costs per year (EUR),Year realised cost has been calculated for,Price reference year (realised costs),Realised benefits (EUR per tonne CO2eq reduced/ sequestered),Realised absolute benefit per year (EUR),Realised net costs (EUR per tonne CO2eq reduced/ sequestered),Realised net cost per year (EUR),Description of realised cost estimates,Description of non-GHG mitigation realized benefits,Reference for realised costs and benefits,Web link for realised costs and benefits
Netherlands,26,Programme on tyre choice and pressure,"The programme contributes to improving the energy efficiency from transport by training and raising awareness, as well as facilitating a diverse set of activities. As a consequence of actions under the eco-drive programme (HNR) and the Energy Agreements, a programme including a communication campaign was implemented promoting proper tyres purchase choice/pressure ('Choose the best tyre'), supported by website information, fact sheets and tips. The programme was evaluated in September 2016 and it was decided that in any event it would continue through to 2018. In 2019 a follow-up programme was started as a result of the governments reaction after the Urgenda court case",National,Single,521,Single PaM,Information,Implemented,ESD/ESR,Transport,"Transport: Efficiency improvements of vehicles,Transport: Improved behavior",No quantitative ex-ante objectives,CO2,,,,,National government; Others,Others: Various business associations; National government: Ministry of Infrastructure and Water Management (I&amp;W,2015,2021,No,No information,No,With existing measures,,see remarks in attachment,,,https://kiesdebesteband.nl/ ; website: https://www.rijksoverheid.nl/actueel/nieuws/2018/11/12/autoband-op-juiste-spanning-beter-voor-milieu-en-portemonnee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,27,Roadmap and tenders Off shore Wind Dutch Coast,"A Wind Energy Roadmap was adopted as part of the Energy Agreement (2013). The roadmap outlines how the generation capacity of offshore wind energy is to be increased from 1,000 MW to 4,450 MW in 2023. In 2018 the roadmap was extended to 2030 (with ambition of 11000 MW in 2030). The roadmap is a basis for (decisions on) tendering processes  for new off shore wind parks. The extended Offshore Wind Energy Roadmap outlines where new wind farms will be built in the North Sea between 2024 and 2030. As support to further development of off shore wind, various ministries work together in an off-shore wind ecological research programma (Wozep) that started in 2016. Also a North Sea Agreement was concluded with other stakeholders on the integration of off shore wind into a more broad use of the Netherlands territorial part of the North Sea.",National,Single,521,Single PaM,Regulatory,Implemented,ESD/ESR; EU ETS,Energy Supply,Energy Supply: Increase in renewable energy sources in the electricity sector,"Ambition: installed capacity of 4,450 MW in 2023 and 11,000 MW in 2030",CO2,,,,,National government,National government: Ministry of Economic Affairs and Climate (EZK)/Netherlands Enterprises Agency (RVO),2015,2030,No,No information,No,With existing measures,Installed capacity off-shore wind MWe,see remarks in attachment,,Information on roadmap to 2030 in letter to Parliament,https://www.rijksoverheid.nl/documenten/kamerstukken/2018/03/27/kamerbrief-routekaart-windenergie-op-zee-2030 ;  https://www.rijksoverheid.nl/documenten/kamerstukken/2019/04/05/kamerbrief-over-de-voortgang-uitvoering-routekaart-windenergie-op-zee-2030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,28,Green Deal 203 Run your engine differently,"In May 2016 some 28 parties, including the ministries of Infrastructure and the Environment and Economic Affairs, concluded a Green Deal on construction and agricultural machinery/engines, with as objective to reduce CO2 emissions with engines  by 10% over the period 2016-2020. In order to achieve this the participating parties undertake a number of actions in various fields. One of the ways in which fuel consumption can be lowered is by changing the behaviour of train and equipment operators. Further, contracting parties must be incentivised to perform their work in an energy efficient manner. Attention is also paid to: teaching energy-efficient use patterns in training courses, using biofuels and using cleaner and better-maintained equipment. During the deal, six more parties joined. The implementation of the deal ended in 2020.  Further information on this Green Deal can be found at the instrument website [see also under the general description under the PAM ""Green Deals"" for the Green deal approach]",National,Single,521,Single PaM,Voluntary/negotiated agreements,Expired,ESD/ESR,Transport,Transport: Improved behavior,No quantitative ex-ante objectives,CO2; CH4; N2O,,,,,National government; Others,Others: Various business associations; National government: Ministry of Infrastructure and Water Management (I&amp;W),2016,2020,No,No information,No,With existing measures,,see remarks in attachment,,Progress reports on the website,https://greendealhetnieuwedraaien.nl/ en http://www.greendeals.nl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,29,SEEH Energy saving at Home subsidy scheme,"Owner-occupants and homeowners’ associations have been able to apply for a subsidy since 2016 as a stimulus to extend energy saving measures. A total of over €12 million for the associations (in dutch VvE) and some €84 million for owner-occupants were made available as a subsidy for energy saving measures by the end of 2020. The subsidy, which comprises approximately 20% of the investment, will only be issued when at least two of the following energy saving measures are performed, under the conditions set out in the subsidy scheme: wall insulation, cavity wall insulation, roof insulation, floor or ground insulation and replacing windows with low-emissivity glass. When at least two energy saving measures are implemented under this requirement, the owner-occupier or owners’ association can also receive an additional subsidy for further energy saving measures, such as insulating doors or customised. The measures and associated requirements largely correspond to the measures and requirements for the National Energy-saving Fund (NEF)) This means that the subsidy and loan can be combined to cover the entire investment. The scheme for owner-occupants has ended by the end of 2020, for home-owner associations the scheme is intended upto 2022. Late 2020 the budget for both owner-occupants as well as homeowners’ associations was exceeded by a large number of applications. In response, extra budget was added so that all applications already submitted can be processed and the scheme for homeowners’ associations can be continued. Since January 1st 2021, owner-occupants can apply under another scheme (see PAM on ISDE) for an investment subsidy for renewable energy and energy saving.",National,Single,521,Single PaM,Economic,Implemented,ESD/ESR,Energy Consumption,Energy Consumption: Efficiency improvements of buildings,No quantitative ex-ante objectives,CO2,,,,,National government,National government: Ministry of the Interior and Kingdom Relations (BZK)/Netherlands Enterprises Agency (RVO),2016,2022,No,No information,No,With existing measures,,see remarks in attachment,,,http://wetten.overheid.nl/BWBR0038472/2017-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,30,Alternative Travel approach,"In 2016 the Alternative Travel approach (Anders Reizen) started. Companies ( are experimenting with travel options to reduce the greenhouse gas emissions. They have developed various best practices (e.g. increased travel-cost reimbursement for cycling to work, issue of a public-transport card, restrictions on (free) parking at the workplace, etc.). The government intends to increase support with e.g. communication activities",National,Single,521,Single PaM,Other,Implemented,ESD/ESR,Transport,"Transport: Improved behavior,Transport: Modal shift to public transport or non-motorized transport,Transport: Reduce emissions from international air or maritime transport",No quantitative ex-ante objectives,CO2,,,,,National government; Others,Others: Various business associations; National government: Ministry of Infrastructure and Water Management (I&amp;W),2016,2030,No,No information,No,No information,,see remarks in attachment,,,https://www.natuurenmilieu.nl/wp-content/uploads/2018/05/CE_Delft_4N98_CO2effect_van_Anders_Reizen_Def.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,31,Reduction gas production levels,"The government aims to reduce the gas production in the Groningen field to zero over the coming years. The gas production is already well under 12 billion Nm3  levels, the safety level recommended by the State Supervision of Mines (Staatstoezicht op de Mijnen (SODM)). In the gas production year 2019-2020 production was 8,65 billion Nm3. The coming years it will be further reduced to zero in the Groningen field. Reason for the reduction is the seismic activity in the region.",National,Single,521,Single PaM,Regulatory,Implemented,ESD/ESR; EU ETS,Energy Supply,Energy Supply: Switch to less carbon-intensive fuels,Ambition: reduction to zero of natural gas production in the Groningen field,CO2,,,,,National government,National government: Ministry of Economic Affairs and Climate (EZK),2016,,No,No information,No,No information,,see remarks in attachment,,,https://www.rijksoverheid.nl/onderwerpen/gaswinning-in-groningen/afbouw-gaswinning-groningen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,32,Government-wide Programme for a Circular Economy [entitled 'A Circular Economy in the Netherlands by 2050'],"To ensure that in 2050 everyone has enough to eat and can buy the goods they need, like clothing and electrical devices, the economy needs to become circular, with basically no waste. To achieve this, the Government-wide Programme for a Circular Economy, entitled 'A Circular Economy in the Netherlands by 2050', was presented to parliament in September 2016. The programme sets out what we need to do in order to utilise raw materials, products, and services in more efficient and smarter ways, thus enabling to realise the ambition - the Netherlands circular by 2050.  In this transition, many parties participate: companies, governments, knowledge institutes, NGOs and many more. The government has selected 5 economic sectors and value chains that will be the first to switch to a circular economy. The agreement has further been worked out in 5 transition agenda and an implementation programme. The 5 economic sectors are: biomass and food, plastics, manufacturing industry, construction sector and consumer goods. Many links and overlaps exist with climate policy.",National,Single,521,Single PaM,No information,Implemented,ESD/ESR; EU ETS,Agriculture; Industrial Processes; Transport; Waste,"Agriculture: Other agriculture,Industrial Processes: Other industrial processes,Transport: Other transport,Waste: Enhanced recycling","Ambition: as a rough initial ambition, the programme works towards about 50% less use of primary resources (minerals, metals, fossil: to be specified further as part of the programme) in 2030.The programme has many experimental aspects and the possible ambitions may have to get more clear over the years and be adapted",CO2,,,,,National government; Others; Research institutions,National government: Ministry of Infrastructure and Water Management (I&amp;W)/Various ministries; Others: Various intermediairies; Research institutions: Various institutes,2016,2030,No,No information,No,No information,,see remarks in attachment,,,https://www.rijksoverheid.nl/onderwerpen/circulaire-economie/documenten/rapporten/2016/09/14/bijlage-1-nederland-circulair-in-2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,33,Housing Valuation System changes,"The Housing Valuation System was changed on 1 July 2011 to included an appraisal system of the energy performance of the housing (on the basis of the energy label), to promote investments in energy-saving measures. The Housing Valuation System sets the maximum rent on the basis of the characteristics of the house. By including the energy label in the Housing Valuation System the maximum rent is linked to its energy label. The change to the Housing Valuation System came into effect on 1 July 2011 for dwellings with an energy label and for dwellings that must have an energy label under the regulations. A transitional period up to 1 January 2014 applied for dwellings that did not yet have an energy label; from 1 January 2014 the Housing Valuation System with an energy label applies to all rental homes. As of 1 October 2015 the Housing Valuation System was amended further: the WOZ (Valuation of Immovable Property Act) value was preferred as a basis for the rental sum, marking the end of the planned evaluation, immediately after the conclusion of the transition period.",National,Single,521,Single PaM,Economic; Regulatory,Implemented,ESD/ESR,Energy Consumption,Energy Consumption: Efficiency improvements of buildings,No quantitative ex-ante objectives,CO2,,,,,National government,National government: Ministry of the Interior and Kingdom Relations (BZK),2016,,No,No information,No,With existing measures,,see remarks in attachment,,,http://wetten.overheid.nl/BWBR0038456/2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,34,Demonstration schema Climate technologies & innovations in transport,"The DKTI-Transport subsidy scheme supports demonstration projects for sustainable transport solutions, not yet on the market, but with good potential business case en possibililities. It aims at solutions with low or zero CO2 emissions e.g. elctric transport, efficient ships, hydrogen in transport, biofuels for air and watertransport as well as heavy road transport.",National,Single,521,Single PaM,Economic,Implemented,ESD/ESR,Transport,"Transport: Efficiency improvements of vehicles,Transport: Reduce emissions from international air or maritime transport",No quantitative ex-ante objectives,CO2,,,,,National government,National government: Ministry of Infrastructure and Water Management (I&amp;W),2017,2021,No,No information,No,With existing measures,,see remarks in attachment,,,https://www.rvo.nl/subsidies-regelingen/dkti-transport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,35,Guaranteed Loans for Agriculture (BL/GL),"The Guaranteed Loans for Agriculture (Borgstelling Landbouw or BL) facility in 2017 replaced the earlier Agriculture Guarantee (Garantstelling Landbouw or GL) and it allows the government to act as guarantor for a part of a bank loan. The BL is faster and has a wider scope than the GL. The bank makes the application, and the maximum guarantee has been increased, while more types of investments may now also fall under this facility. For innovative investments (in greening stables or greenhouses) extra guarantees can be obtained. Under specific conditions, extra facilities may be applied e.g. for starters (lower provision) and for companies that due to the corona crisis need temporary extra (bridging) loans.",National,Single,521,Single PaM,Economic,Implemented,ESD/ESR; EU ETS,Agriculture; Energy Consumption,"Agriculture: Other agriculture,Energy Consumption: Other energy consumption",No quantitative ex-ante objectives,CO2; CH4,,,,,National government,National government: Ministry of Agriculture (including Nature and Food Quality/LNV)/Netherlands Enterprises Agency (RVO),2017,,No,No information,No,With existing measures,,see remarks in attachment,,,https://www.rvo.nl/subsidies-regelingen/borgstellingskrediet-voor-de-landbouw-bl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,36,Green Deal 221 Participation of communities in sustainable energy projects,"This green deal aims at joint development and knowledge sharing of views, ideas and practices to improve participative approaches with communities in decisionmaking, preparation and tuning of sustainable energy projectis in their physical and social environment. In this deal and the also parallel implemented regional energy strategy approach (NP RES programme) a.o. guidances are being developed fo stakeholders to improve participation in practice.",National,Single,521,Single PaM,Voluntary/negotiated agreements,Expired,ESD/ESR,Energy Supply,Energy Supply: Other energy supply,No quantitative ex-ante objectives,CO2,,,,,Local government; National government,National government: Ministry of Economic Affairs and Climate (EZK); Local government: IPO/VNG,2018,2020,No,No information,No,With existing measures,,see remarks in attachment,,,https://www.greendeals.nl/gd221-participatie-van-de-omgeving-bij-duurzame-energieprojecten/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,37,Green Deal 225 Car sharing II,"The Green Deal on Car sharing II (a follow up of an earlier first deal on car sharing) is an agreement between a broad coalition of providers of car sharing, leasing companies, insurance companies, municipalities, businesses, interest groups as well as the national government, to join forces with the aim to expand the car sharing concept and implementation. The ambition was to increase and extent the network upto some 100 000 cars in 2021 and some 700 000 users. The goal of 700.000 users was reached in 2020. In 2019/2020 extra communication support was planned by the government as response also to the Urgenda court ruling. 
There is also a similar agremeent (City Deal) specifically on the sharing of electric cars.",National,Single,521,Single PaM,Voluntary/negotiated agreements,Implemented,ESD/ESR,Transport,"Transport: Demand management/reduction,Transport: Improved behavior",Ambition: some 700000 users in 2021,CO2,,,,,National government; Others,National government: Ministry of Infrastructure and Water Management (I&amp;W); Others: Various intermediairies,2018,2021,No,No information,No,With existing measures,Users of shared cars number,see remarks in attachment,,The knowledge platform CROW maintains a nationale monitoring dashboard,http://www.greendeals.nl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,38,Programme and large scale pilots on natural-gas-free neighbourhoods,"This pilot programme is basically an experimental programme with some pilot areas to feed experiences and know how into the included knowledge exchange programme aimed to support a structured, area-specific approach with the ambition of making many neighbourhoods free of natural gas. Such area-specific approaches are delegated to municipalities themselves. Housing associations have an important role to play in driving the transition forward. Their housing stock includes a large number of comparable housing types, which offers good potential for scaling up the efforts to make housing more sustainable. Based on the experiences of this experimental programme, later a more full scale approach is intended to be planned",National,Single,521,Single PaM,Economic; Other,Implemented,ESD/ESR,Energy Consumption; Energy Supply,"Energy Consumption: Efficiency improvements of buildings,Energy Supply: Switch to less carbon-intensive fuels",No quantitative ex-ante objectives,CO2,,,,,Local government; National government,Local government: Municipalities; National government: Ministry of the Interior and Kingdom Relations (BZK),2018,2030,No,No information,No,With existing measures,,see remarks in attachment,,,https://www.rijksoverheid.nl/actueel/nieuws/2018/10/01/120-miljoen-euro-voor-%E2%80%98proeftuinen%E2%80%99-aardgasvrije-wijken-in-27-gemeenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,39,"Municipal heat transition visions (TVW), advice scheme (EAW) & knowledge centre on heat (ECW)","Following up earlier agreements a.o. in energie & climate agreements, municipalities have to elaborate transition visions on heat (including the transition to natural gas free areas/neighbourhoods). A subsidy support scheme for external advices (EAW) and a supporting knowledge centre (Expertise Centrum Warmte ECW) support municipalities with expertise and guidance preparing their transition visions on heat and the related implementation plans. The ECW also informs the target group in energy market issues and aquathermal and geothermal heat options.",Local,Single,521,Single PaM,Economic; Other,Implemented,ESD/ESR,Energy Consumption; Energy Supply,"Energy Consumption: Efficiency improvements of buildings,Energy Supply: Increase in renewable energy in the heating and cooling sector,Energy Supply: Increase in renewable energy sources in the electricity sector",No quantitative ex-ante objectives,CO2,,,,,National government,National government: Ministry of the Interior and Kingdom Relations (BZK);  Municipalities,2018,2030,No,No information,No,With existing measures,,see remarks in attachment,,,https://www.rvo.nl/subsidie-en-financieringswijzer/extern-advies-warmtetransitie-eaw; Website ECW: https://www.expertisecentrumwarmte.nl/default.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,40,Environment & Planning Act (Omgevingswet).,"The new Environment and Planning Act (Omgevingswet) is combining and modernising the various related legislation in the fields of the environment, nature and spatial planning (living environment). The Act and supporting decrees will contain much of the legislation from present act and decrees on these subjects, e.g. the Environmental Protection Act and its decrees. The new Act has been adopted by Parliament in 2016; however its operationalisation and introduction still is ongoing. Expected implementation is around 2021. It provides for integration of regulations for, among other things, spatial planning, nature, water and the environment which will improve the legal support for an integrated and area-oriented approach to the living environment. Als a National Strategy on Spatial Planning and Environment (NOVI) is included as instrument. Regular updates of the regulations will be implemented, when appropriate. A planned update under one of the decrees (on buildings) concerns new regulations  to enable more sustainable use of roofs. This is recently made available for public consultation.",National,Single,521,Single PaM,Regulatory,Implemented,ESD/ESR; EU ETS,Other Sectors,Other Sectors: New objective(s),No quantitative ex-ante objectives,CO2,,,,,Local government; National government,National government: Ministry of the Interior and Kingdom Relations (BZK); Local government: Provinces/Municipalities,2018,,No,No information,No,With additional measures,,see remarks in attachment,,,https://www.rijksoverheid.nl/onderwerpen/omgevingswet/nationale-omgevingsvisie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,41,"Green Deal 230 Sea transport, inland shipping and harbours","This deal aims to reduce greenhouse gas emissions as well as other harmful emissions to the air (NOx, SOx, particle matter) from the involved shipping sectors.  The national government, provinces, port authorities, maritime sector organisations, shippers, transport companies, banks, and research institutes are joining forces to promote sustainability in the shipping sectors. Inland shipping is a topic under the new climate agreement. Agreements with the sector on greenhouse gas reductions will form part of this green deal. Though not under the climate agreement, also the sea transport sector will be included under the deal.",National,Single,521,Single PaM,Voluntary/negotiated agreements,Implemented,ESD/ESR,Transport,"Transport: Other transport,Transport: Reduce emissions from international air or maritime transport","Ambition: include besides various aspects on improving conditions for reductions, for inland shipping for 2024 a reduction of 20% CO2 emissions relative to 2015 and a reduction of 10% of other harmful substances.",CO2,,,,,National government; Others,Others: Various business associations ; National government: Ministry of Infrastructure and Water Management (I&amp;W),2019,2024,No,No information,No,With existing measures,,see remarks in attachment,,,https://www.greendeals.nl/green-deals/green-deal-zeevaart-binnenvaart-en-havens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,42,Sustainability scheme Reduction Landlord charges for Housing Associations,"This Sustainability scheme Reduction Landlord charges for Housing Associations (RVV) scheme provides fiscal incentives for housing associations in the social housing sector, that aim to improve the energy performance of the dwellings.",National,Single,521,Single PaM,Economic,Implemented,ESD/ESR,Energy Consumption,Energy Consumption: Efficiency improvements of buildings,No quantitative ex-ante objectives,CO2,,,,,National government,National government: Ministry of the Interior and Kingdom Relations (BZK)/Netherlands Enterprises Agency (RVO),2019,,No,No information,No,With existing measures,,see remarks in attachment,,,https://www.rvo.nl/subsidie-en-financieringswijzer/rvv/rvv-verduurzaming-2021/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,43,National policy framework for the infrastructure of alternative fuels  & National Agenda on charging infrastructure,"The national policy framework alternative fuels infrastructure (AFI) (Nationaal beleidskader alternatieve brandstoffen) is the Dutch implementation of the Alternative Fuels Infrastructure Directive (2014/94/EU). This framework sets out various infrastructure deployment targets, as well as technical and market specifications to ensure interoperability and `consumer information. This instrument also allows for enforcement if these technical requirements are not met.

The NAL (Nationale Agenda Laadinfrastructuur) is written following the requirements from the AFiD directive on a policy framework. The NAL  is a multi-year policy agenda, supported by a broad coalition of parties,  formulating ambitions and planned actions, also based on the Climate Agreement.  The ambition is that the charging infrastructure will not form an obstacle in deployment of electric transport. The agenda includes actions on infrastructure coverage, strategic extension (before actual demand emerges), accessible information on locations and tariffs, smart charging infrastructure etc.",National,Single,521,Single PaM,Planning,Implemented,ESD/ESR,Transport,Transport: Improved transport infrastructure,NAL: ambition of 1.7 mln EV-chargers; AFI: LNG bunker facilities and CNG and LNG refueling stations,CO2,,,,,National government,National government: Ministry of Infrastructure and Water Management (I&amp;W),2017,2030,Yes,Directive on the deployment of alternativeÂ fuelsÂ infrastructure 2014/94/EUÂ  ,No,With existing measures,Number of (semi-) public EV charging stations number,see remarks in attachment,,,https://www.rijksoverheid.nl/documenten/rapporten/2017/02/23/beleidskader-infrastructuur-voor-alternatieve-brandstoffen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,44,Climate Agreement,"Climate Agreement: in the Netherlands parties from many segments of society, as well as goverments negotiated a new climate agreement as framework for actions in the Netherlands, aimed at achieving 2030 green house gas reductions ambitions. The government has outlined its policies in a letter to parliament in june 2019 in response to a draft climate agreement, attached to the letter. Many parties have meanwhile signed, many actions are started, some are still further elaborated or negotiated. The full extent of climate policy impacts and steering is part of the obligations under the Climate Act and the periodig Climate Plans",National,Single,521,Single PaM,Voluntary/negotiated agreements,Implemented,ESD/ESR; EU ETS,Other Sectors,Other Sectors: New objective(s),"Ambition: part of a more broad package of PAMs, with reduction ambitions as those mentioned under the Climate Act",CH4; CO2; HFC; N2O; NF3; PFC; SF6,,,,,Local government; National government; Others,National government: Ministry of Economic Affairs and Climate (EZK)/Various ministries; Local government: IPO (Interprovinciaal Overleg)/VNG (Vereniging van Nederlandse Gemeenten); Others: Various intermediairies,2019,2030,No,No information,No,With existing measures,,see remarks in attachment,,,https://www.rijksoverheid.nl/ministeries/ministerie-van-economische-zaken-en-klimaat/documenten/kamerstukken/2019/06/28/kamerbrief-voorstel-voor-een-klimaatakkoord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,45,Hydrogenprogramme,"In the Climate Agreement of 2019 a hydrogen related programme is planned. After presenting a governments vision to parliament in march 2020 a national programme has been initiated. This will primarily aim at developing the supply of 'green' hydrogen, developing the required infrastructure and cooperation with sectoral programmes, and facilitating ongoing initiatives and projects.  Als synergy between infrastructure and use of hydrogen will be enhanced. More specific actions and instruments (or use of already existing ones) is to follow. The programme partners have started a website for the programma and early 2021 started joint elaboration of a working programme",National,Single,521,Single PaM,Voluntary/negotiated agreements,Implemented,ESD/ESR; EU ETS,Energy Supply; Industrial Processes; Transport,"Energy Supply: Switch to less carbon-intensive fuels,Industrial Processes: Other industrial processes,Transport: Low carbon fuels",No quantitative ex-ante objectives,CO2,,,,,National government; Research institutions,National government: Various ministries; Research institutions: CSWW platform,2019,2030,No,No information,No,No information,,see remarks in attachment,,,"www.nationaalwaterstofprogramma.nl, https://www.topsectorenergie.nl/sites/default/files/uploads/TKI%20Gas/publicaties/Programmatische%20Aanpak%20Waterstof%20-%20finaal%20concept%20-%2029%20okt%202019.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,46,National Program on Regional Energy strategies,"The coordination between the regional implementation (regional energy strategies) and implementation (main energy system) will take place in the inter-administrative programme NP RES (the National RES Programme). Local and regional authorities and the national government will remain responsible for the use of their own range of instruments. In this program, Regional Energy Strategies (RES) are being developed. These include the regional implementation approach for agreements made on a national level in the new planned climate agreement (with focus on wind and solar, the required infrastructure and regional demand and supply of sustainable heath sources) . The RES are being developed in a country wide program of some 30 regions in which all provinces and municipalities participate, together with regional stakeholders. The agreement is that the regions supply their final RES1.0 mid-2021 in view of realization of the ambitions before 2030",Local,Single,521,Single PaM,Planning,Implemented,ESD/ESR; EU ETS,Energy Consumption; Energy Supply,"Energy Consumption: Other energy consumption,Energy Supply: Increase in renewable energy in the heating and cooling sector,Energy Supply: Other energy supply","Ambition: part of a more broad package of PAMs, working towards realisation of the ambition to produce some 35TWh renewable energy ('on shore') in 2030.",CO2,,,,,Local government,Local government: Provinces/Municipalities,2019,2030,No,No information,No,No information,,see remarks in attachment,,,https://regionale-energiestrategie.nl/home/default.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,47,"Peat areas plan, national research programma & pilot projects water management peat areas","The climate agreement mentions a possible ambtion for the peat meadow areas in the Netherlands of a CO2-eq reduction of 1 Mt by 2030. The ""Key Points for a Climate Agreement"" set out the technical potential of a number of measures, such as underwater drainage. Knowledge development will have to indicate what measures will be effective regarding achieving the ambition of 1 Mt of CO2-eq in reduction. The actual combination of measures that is required to realise this ambition will be determined on that basis and will be realised on an area-specific level. The parties will jointly monitor the progress and effectiveness of the measures. Based on these results, there will be multiple opportunities a year for parties to discuss whether interim adjustment of the measures or ambitions may be necessary. A Peat areas plan has been developed and a national research programme has started (2019). Also pilot projects are initiated (partially already supported under other activities and instruments)",National,Single,521,Single PaM,Research,Implemented,ESD/ESR,"Land use, land use change and forestry","Land use, land use change and forestry: Prevention of drainage or rewetting of wetlands","Ambition: 0,97-1,0 Mton reduction in 2030",CH4; N2O,,,,,National government,National government: Ministry of Agriculture (including Nature and Food Quality/LNV),2019,2030,No,No information,No,With existing measures,,see remarks in attachment,,,https://www.rijksoverheid.nl/documenten/kamerstukken/2020/07/13/kamerbrief-over-inzet-en-maatregelen-in-de-veenweidegebieden-veenplan-1e-fase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
