Policy,Year,Country,Policy_Content,URL,Scope,Explanation,Agency,Source
FEMA Releases Strategic Plan that Includes Climate Change Considerations,2021,USA,"<p>The Federal Emergency Management Agency released its strategic plan for 2022–2026, restoring climate change considerations that were absent from the Trump administration’s strategic plan.</p>
On December 9, 2021, the Federal Emergency Management Agency released its strategic plan for 2022–2026, restoring climate change considerations that were absent from the Trump administration’s strategic plan. Specifically, one of the three major goals listed in the strategic plan is to “Lead Whole of Community in Climate Resilience.” This goal includes three sub-goals:

1) “Increase climate literacy among the emergency management community;”

2) “Build a climate resilient nation;” and

3) “Empower risk-informed decision making.”",https://climate.law.columbia.edu/content/fema-releases-strategic-plan-includes-climate-change-considerations,National,Strategic Plan,FEMA,Climate-Reregulation-Tracker
EPA Finalizes Passenger Vehicle Greenhouse Gas Emissions Standards ,2021,USA,"<p>The Environmental Protection Agency finalized light-duty vehicle greenhouse gas emissions standards for Model Year 2023 and later, which are expected to result in average fuel economy label values of 40 mpg.</p>
On December 20, 2021, the Environmental Protection Agency (EPA) finalized light-duty vehicle greenhouse gas emissions standards for Model Years (MY) 2023 and later. The final rule revises current GHG standards beginning in MY 2023 and increases in stringency between 5 and 10 percent each year from 2023 through 2026. The standards are expected to result in average fuel economy label values of 40 mpg, while the previous standards would achieve only 32 mpg in MY 2026.",https://climate.law.columbia.edu/content/epa-finalizes-passenger-vehicle-greenhouse-gas-emissions-standards,National,Final rule,EPA,Climate-Reregulation-Tracker
Office of the Comptroller of the Currency Releases Draft Principles for Managing Climate-Related Financial Risks,2021,USA,"<p>The Office of the Comptroller of the Currency released draft principles to provide a framework for managing exposure to climate-related financial risks in OCC-regulated institutions with more than $100 billion in total consolidated assets.&nbsp;</p>
On December 16, 2021, the Office of the Comptroller of the Currency (OCC) released draft principles to provide a framework for managing exposure to climate-related financial risks in OCC-regulated institutions with more than $100 billion in total consolidated assets. OCC states that the principles are meant to support banks in their climate risk management efforts.

OCC is seeking feedback on the draft principles, and will accept comments through February 14, 2022.",https://climate.law.columbia.edu/content/office-comptroller-currency-releases-draft-principles-managing-climate-related-financial,National,Draft Principles,OCC,Climate-Reregulation-Tracker
NHTSA Finalizes Repeal of Trump-Era Rule Blocking State Fuel Economy Standards,2021,USA,"<p>The National Highway Traffic Safety Administration finalized its repeal of the 2019 SAFE Rule Part I, which had codified the preemption of state and local laws related to fuel economy standards.</p>
On December 21, 2021, the National Highway Traffic Safety Administration (NHTSA) published its Corporate Average Fuel Economy (CAFE) Preemption rule, which finalizes its repeal of 2019’s “The Safer Affordable Fuel-Efficient (SAFE) Vehicles Rule Part One: One National Program.” That rule had codified the preemption of state and local laws related to fuel economy standards. Specifically, the 2019 rule had targeted California's preemption waiver as applied to the greenhouse gas emissions standards and zero-emission vehicle mandate. NHTSA’s 2021 rule thus reopens pathways for state and local fuel economy laws.",https://climate.law.columbia.edu/content/nhtsa-finalizes-repeal-trump-era-rule-blocking-state-fuel-economy-standards,National,Final rule,NHTSA,Climate-Reregulation-Tracker
DOE Announces the Establishment of the Office of Clean Energy Demonstrations,2021,USA,"<p>The Department of Energy announced the creation of the Office of Clean Energy Demonstrations to support clean energy technology demonstration projects.</p>
On December 21, 2021, The Department of Energy announced the creation of the Office of Clean Energy Demonstrations. The office, established under the Bipartisan Infrastructure Law, will support clean energy technology demonstration projects in areas including clean hydrogen, carbon capture, grid-scale energy storage, and small modular reactors.",https://climate.law.columbia.edu/content/doe-announces-establishment-office-clean-energy-demonstrations,National,Agency Announcement,DOE,Climate-Reregulation-Tracker
Department of Energy Finalizes Reversal of Heating Efficiency Rollback,2021,USA,"<p>The Department of Energy&nbsp;reinstated a previous interpretation of energy efficiency rules pertaining to residential furnaces and commercial water heaters.</p>
On December 29, 2021, the Department of Energy finalized a rule that reinstates a previous interpretation of energy efficiency rules pertaining to residential furnaces and commercial water heaters.

The December 2021 rule reverses a January 2021 rule that risked blocking future administrations from making gas-fired water heaters, furnaces, and boilers more efficient. Many gas-fired water heaters, furnaces, and boilers currently allow a significant amount of heat to be wasted through venting, but some models use condensing technology to capture heat and prevent waste. In 2018 a number of industry groups petitioned DOE to define condensing and non-condensing equipment as separate categories with separate efficiency standards. The January 2021 rule defined non-condensing technology, which requires venting, as a performance-related ""feature"" under the Energy Policy and Conservation Act that cannot be eliminated through adoption of an energy conservation standard. By creating two separate classes -- one for models with condensing capabilities and one for models without such capabilities -- DOE's January rule had limited future administrations' authority to require condensing equipment for all gas-fired water heaters, furnaces and boilers. The December 2021 proposal reinstates the previous interpretation and therefore allows DOE to require condensing equipment for all such appliances.",https://climate.law.columbia.edu/content/department-energy-finalizes-reversal-heating-efficiency-rollback,National,Final rule,DOE,Climate-Reregulation-Tracker
DOE Finalizes Reversal of Energy Efficiency Rollbacks,2022,USA,"<p>The Department of Energy finalized a rule reversing energy efficiency rollbacks issued by the prior administration for dishwashers, washing machines, and dryers.&nbsp;</p>
On January 19, 2022, the Department of Energy finalized a rule revoking two energy efficiency rules issued by the prior administration.

On October 30, 2020, DOE established a new product class for standard residential dishwashers with a cycle time for the normal cycle of one hour or less from washing through drying under the Energy Policy and Conservation Act. On December 16, 2020, DOE similarly established separate product classes for certain washing machines and dryers under the Energy Policy and Conservation Act. Energy efficiency advocates expressed concern that the new classifications would allow appliances fitting into new product classes to avoid more stringent standards. The January 2022 final rule revokes both rules and reinstates the prior product classes and applicable standards for dishwashers, washing machines, and dryers.",https://climate.law.columbia.edu/content/doe-finalizes-reversal-energy-efficiency-rollbacks,National,Final rule,DOE,Climate-Reregulation-Tracker
EPA Proposes Reinstating Finding Underpinning Mercury and Air Toxics Regulations for Power Plants,2022,USA,"<p>The Environmental Protection Agency proposed revoking a 2020 rule that stated it was not appropriate and necessary to regulate mercury and air toxics from coal- and oil-fired electric utility steam generating units under Clean Air Act (CAA) Section 112.</p>
On January 31, 2022, the Environmental Protection Agency (EPA) proposed revoking a 2020 rule that stated it was not appropriate and necessary to regulate mercury and air toxics (MATS) from coal- and oil-fired electric utility steam generating units (EGUs) under Clean Air Act (CAA) Section 112. The 2020 rule relied on EPA's rejection of the value of co-benefits — reductions in other pollutants not directly covered by MATS. While the 2020 rule did not rescind a 2012 rule requiring facilities to achieve an emissions rate for MATS consistent with the implementation of the maximum available control technology (MACT), advocates had worried that EPA’s refusal to consider co-benefits would make it more difficult to justify future rulemakings that are protective of public health. EPA’s January 2021 proposed rule would also reaffirm the pre-2020 finding that it is appropriate and necessary to regulate hazardous air pollutant (HAP) emissions from EGUs after considering cost.

EPA is accepting comments until April 11, 2022. EPA is also soliciting information on the performance and cost of new or improved technologies that control HAP emissions, improved methods of operation, and relevant risk-related information.",https://climate.law.columbia.edu/content/epa-proposes-reinstating-finding-underpinning-mercury-and-air-toxics-regulations-power,National,Proposed Rule,EPA,Climate-Reregulation-Tracker
"CEQ Publishes Interim Guidance on Carbon Capture, Utilization, and Sequestration",2022,USA,"<p>The Council on Environmental Quality published its interim guidance document, “Carbon Capture, Utilization, and Sequestration Guidance.”</p>
On February 16, 2022, the Council on Environmental Quality (CEQ) published an interim guidance document titled “Carbon Capture, Utilization, and Sequestration Guidance.” According to CEQ, the goal of the guidance is to “facilitate reviews associated with the deployment of CCUS and to promote the efficient, orderly, and responsible development and permitting of CCUS projects at an increased scale in line with the Administration's climate, economic, and public health goals.” Among other items, the guidance suggests that agencies should consider developing programmatic environmental reviews where such analyses can facilitate more efficient and effective review of multiple carbon capture, utilization, and/or sequestration projects, and should focus on engaging communities and Tribes in co-development of projects and approaches.

CEQ is accepting comments on the interim guidance until March 18, 2022.",https://climate.law.columbia.edu/content/ceq-publishes-interim-guidance-carbon-capture-utilization-and-sequestration,National,Guidance,CEQ,Climate-Reregulation-Tracker
FERC Updates its Pipeline Certification Policies,2022,USA,"<p>The Federal Energy Regulatory Commission updated its policy statement governing the certification of new interstate natural gas facilities.</p>
On February 18, 2022, the Federal Energy Regulatory Commission (FERC) published its “Updated Policy Statement on Certification of New Interstate Natural Gas Facilities.” The document describes how FERC will evaluate factors bearing on the public interest in determining whether a new interstate natural gas transportation project is required by the public convenience and necessity under the Natural Gas Act. One key element of the updated policy is the requirement that FERC look beyond precedent agreements when determining whether there is public need for a project. The document also includes information on how FERC will consider environmental impacts, including impacts on environmental justice communities. You can read more about the policy statement in this blog post. ",https://climate.law.columbia.edu/content/ferc-updates-its-pipeline-certification-policies,National,Policy Statement,FERC,Climate-Reregulation-Tracker
FERC Announces Policies for Evaluating Climate Impacts,2022,USA,"<p>The Federal Energy Regulatory Commission published an interim policy statement on considering greenhouse gas emissions in natural gas infrastructure project reviews.</p>
On February 18, 2022, the Federal Energy Regulatory Commission (FERC) published an interim policy statement titled “Consideration of Greenhouse Gas Emissions in Natural Gas Infrastructure Project Reviews.” The document describes FERC’s procedures for evaluating climate impacts under National Environmental Policy Act and how FERC will integrate climate considerations into its public interest determinations under the Natural Gas Act. The document states that FERC is establishing a rebuttable presumption that proposed projects with 100,000 metric tons per year of carbon dioxide equivalents (CO2e) emissions will be deemed to have a significant impact on climate change. The document also explains how FERC will quantify greenhouse gas emissions and how FERC will handle the potential mitigation of climate impacts. You can read more about the policy statement in this blog post. ",https://climate.law.columbia.edu/content/ferc-announces-policies-evaluating-climate-impacts,National,Policy Statement,FERC,Climate-Reregulation-Tracker
FEMA Unveils Program to Help Fund Climate Hazard Mitigation Efforts,2022,USA,"<p>The Federal Emergency Management Agency issued its <em>Building Resilient Infrastructure and Communities Policy</em>,<em> </em>which describes a new program to help fund climate hazard mitigation efforts.</p>
On February 25, 2022, the Federal Emergency Management Agency issued its Building Resilient Infrastructure and Communities Policy. The policy statement describes a new hazard mitigation grant program to assist States, territories, Tribes, and local governments with mitigating the impacts of natural hazards, including those associated with or amplified by climate change. The program is meant to “promote[] a national culture of preparedness through encouraging investments to protect communities and infrastructure by increasing pre-disaster hazard mitigation and strengthening national resilience.”",https://climate.law.columbia.edu/content/fema-unveils-program-help-fund-climate-hazard-mitigation-efforts,National,Notice,FEMA,Climate-Reregulation-Tracker
EPA Proposes New Emission Controls for Heavy Duty Vehicles and Engines,2022,USA,"<p>The Environmental Protection Agency proposed new standards for reducing air pollution from highway heavy-duty vehicles and engines, including ozone, particulate matter, and greenhouse gases.</p>
On March 7, 2022, the Environmental Protection Agency (EPA) proposed new standards for reducing air pollution from highway heavy-duty vehicles and engines, including ozone, particulate matter, and greenhouse gases. EPA’s proposal would alter many aspects of the agency’s heavy-duty emission control program, including standards, test procedures, useful life, warranty, and other requirements. EPA’s proposal would also update the agency’s Heavy-Duty Greenhouse Gas Emissions Phase 2 program by proposing additional greenhouse gas reductions in the model year 2027 timeframe.

EPA is accepting comments within 46 days of the proposed rule’s publication in the Federal Register.  ",https://climate.law.columbia.edu/content/epa-proposes-new-emission-controls-heavy-duty-vehicles-and-engines,National,Proposed Rule,EPA,Climate-Reregulation-Tracker
EPA Restores California’s Authority to Set Climate-Protective Vehicle Emissions Standards,2022,USA,"<p>The Environmental Protection Agency rescinded its 2019 withdrawal of a waiver that allows California to set vehicle emissions standards that are more climate-protective than federal requirements.&nbsp;</p>
On March 9, 2022, the Environmental Protection Agency (EPA) took final action to restore California’s authority to set its own vehicle emissions standards that are more climate-protective than federal requirements. EPA’s mandate to set emission standards for new motor vehicles under the Clean Air Act generally preempts states’ ability to establish such standards. However, California can seek a waiver to set its own regulations that are at least as protective as applicable federal rules, which other states may follow.

In 2013 EPA granted California a preemption waiver for its Advanced Clean Car (ACC) regulations.  The ACC program is comprised of California’s low emission vehicle program, greenhouse gas standards, and zero-emission vehicle (ZEV) program.  The ZEV program requires a certain percentage of vehicles in the state to produce no carbon dioxide tailpipe emissions. In 2019, EPA partially withdrew the waiver as part of “The Safer Affordable Fuel-Efficient (SAFE) Vehicles Rule Part One: One National Program” (SAFE 1).” EPA also announced an interpretation of the Clean Air Act that prevented other states from adopting California’s greenhouse gas standards.

The March 9 Notice of Decision rescinds the 2019 waiver withdraw, bringing the 2013 ACC program waiver back into force, and additionally rescinds the 2019 interpretation that prevented other states from adopting California’s greenhouse gas standards.",https://climate.law.columbia.edu/content/epa-restores-californias-authority-set-climate-protective-vehicle-emissions-standards,National,Notice of Determination,EPA,Climate-Reregulation-Tracker
SEC Proposes Greenhouse Gas Emissions and Climate Risk Disclosure Rule,2022,USA,"<p>The Securities and Exchange Commission proposed a rule to require registrants to provide certain climate-related information in their registration statements and annual reports.</p>
On April 11, 2022, the Securities and Exchange Commission (SEC) proposed a rule under the Securities Act of 1933 and Securities Exchange Act of 1934 to require registrations to provide certain climate-related information in their registration statements and annual reports. Under the proposed rule, registrants would be required to disclose climate-related risks that are reasonably likely to have a material impact on their business, results of operations, or financial condition. Registrants would also have to disclose their greenhouse gas emissions, along with certain climate-related financial metrics. Registrants’ greenhouse gas emissions disclosures would include direct (Scope 1) and indirect (Scope 2) greenhouse gas emissions, along with greenhouse gas emissions generated by suppliers and partners (Scope 3), when those emissions are material or included in a company’s emissions targets.

SEC is accepting comments until May 20, 2022.",https://climate.law.columbia.edu/content/sec-proposes-greenhouse-gas-emissions-and-climate-risk-disclosure-rule,National,Proposed Rule,SEC,Climate-Reregulation-Tracker
GSA Releases Concrete and Asphalt Standards for Federal Contractors to Reduce Climate Impacts,2022,USA,"<p>The General Service Administration released standards to limit the global warming potential of concrete and asphalt used by federal contractors.</p>
On March 30, 2022, the General Service Administration (GSA) released its “Low Embodied Carbon Concrete Standards for all GSA Projects.” The standards contain Global Warming Potential (GWP) limits for various classes of concrete. Federal contractors must use concrete that meets these standards for all GSA projects that use at least ten cubic yards of concrete, though the GSA allows a waiver from these requirements in certain circumstances.  

On March 29, 2022, the General Service Administration (GSA) released its revised “Environmentally Preferable Asphalt Standards for all GSA Projects.” Under these standards, contractors must provide “environmentally preferable asphalt,” which is defined as material manufactured or installed using at least two of the following techniques:

“a. Greater than 20% recycled asphalt pavement (RAP) content (specify percentage, and whether in-place or central plant recycling is used);

 b. Warm mix technology (reduced onsite mix temperature);

c. Non-pavement recycled content (e.g. roof shingles, rubber, or plastic);

d. Bio-based or other alternative binders;

e. Improved energy/ carbon efficiency of manufacturing plants or equipment (e.g. using natural gas or electric for heating materials);

or f. Other environmentally preferable features or techniques (please specify).”

These asphalt standards apply to all GSA projects that use at least ten cubic yards of asphalt, and GSA likewise allows for a waiver in certain circumstances.",https://climate.law.columbia.edu/content/gsa-releases-concrete-and-asphalt-standards-federal-contractors-reduce-climate-impacts,National,Standards,GSA,Climate-Reregulation-Tracker
President Biden Signs Executive Order on the Responsible Development of Digital Assets,2022,USA,"<p>President Biden signed an executive order with the goal of reducing the risk of digital assets such as cryptocurrencies on climate change, pollution, and energy demand.</p>
On March 9, 2022, President Biden signed his “Executive Order on Ensuring Responsible Development of Digital Assets.” The Executive Order notes the potential impacts of digital assets like cryptocurrencies on climate change, pollution, and energy demand. The order directs the Director of the Office of Science and Technology Policy to develop a report on “the connections between distributed ledger technology and short-, medium-, and long-term economic and energy transitions; the potential for these technologies to impede or advance efforts to tackle climate change at home and abroad; and the impacts these technologies have on the environment.”",https://climate.law.columbia.edu/content/president-biden-signs-executive-order-responsible-development-digital-assets,National,Executive Order,White House,Climate-Reregulation-Tracker
FDIC Releases Draft Guidance for the Management of Climate-Related Financial Risks,2022,USA,"<p>The Federal Deposit Insurance Corporation published its draft “Statement of Principles for Climate-Related Financial Management for Large Financial Institutions.”</p>
On April 1, 2022, the Federal Deposit Insurance Corporation (FDIC) published its draft “Statement of Principles for Climate-Related Financial Management for Large Financial Institutions.” The document contains draft principles for the management of exposures to climate-related financial risks for the largest financial institutions (defined as those with over $100 billion in total consolidated assets). The document includes general principles pertaining to 1) governance; 2) policies, procedures, and limits; 3) strategic planning; 4) risk management; 5) data, risk measurement, and reporting; and 6) scenario analysis.

The FDIC is also requesting public feedback on the draft principles and is accepting comments until June 3, 2022.",https://climate.law.columbia.edu/content/fdic-releases-draft-guidance-management-climate-related-financial-risks,National,Draft Principles,FDIC,Climate-Reregulation-Tracker
NHTSA Finalizes More Stringent Fuel Economy Standards,2022,USA,"<p>The National Highway Traffic Safety Administration finalized more stringent corporate average fuel economy (CAFE) standards for passenger cars and light trucks for model years 2024–2026.</p>
On April 1, 2022, the National Highway Traffic Safety Administration, on behalf of the Department of Transportation, finalized revised corporate average fuel economy (CAFE) standards for passenger cars and light trucks for model years (MY) 2024–2026. This proposal continues NHTSA’s implementation of President Biden’s January 20, 2021 Executive order, “Protecting Public Health and the Environment and Restoring Science To Tackle the Climate Crisis.’’ In that order, President Biden directed that the 2020 “Safer Affordable Fuel-Efficient (SAFE) Vehicles Rule for Model Years 2021–2026 Passenger Cars and Light Trucks’’ be immediately reviewed for consistency with public health, environmental, and other policy goals, and that the Secretary of Transportation consider suspending, revising, or rescinding the 2020 rule by July 2021. The final rule sets fuel economy standards that increase at a rate of 8 percent per year, and increase at a rate of 10 percent per year for MY 2026 vehicles.

NHTSA’s rule follows EPA’s December 20, 2021 rule finalizing light-duty vehicle greenhouse gas emissions standards for MY 2023 and later, which likewise implemented President Biden’s January 2021 order.",https://climate.law.columbia.edu/content/nhtsa-finalizes-more-stringent-fuel-economy-standards,National,Final rule,NHTSA,Climate-Reregulation-Tracker
CEQ Finalizes the First Phase of its Revisions to NEPA Regulations,2022,USA,"<p>The Council on Environmental Quality finalized “Phase 1” of its efforts to restore NEPA regulations to their pre-2020 rigor.</p>
On April 20, 2022, the Council on Environmental Quality restored regulations under the National Environmental Policy Act (NEPA) that the Trump administration had removed in a 2020 rule. The April 2022 rule—which is “Phase 1” of the agency’s plan to restore NEPA to its pre-2020 rigor—makes several major changes to NEPA regulations. First, the rule requires agencies to consider the “direct,” “indirect,” and “cumulative” impacts of proposed agency decisions. Review of cumulative impacts, which the Trump administration’s 2020 rule removed from the NEPA process, is frequently necessary to understand a project’s contribution to climate change. Cumulative impacts are also relevant to environmental justice analyses. In addition to restoring review of cumulative impacts, the rule also restores federal agencies’ authority to develop and analyze project alternatives to minimize the environmental and public health costs of a proposed project. Relatedly, the rule clarifies that agencies have discretion to assess a variety of factors related to a project’s “purpose and need,” removing a requirement that limited an agency to considering the applicant’s stated goals and the agency’s statutory authority. Finally, the rule allows federal agencies to go beyond NEPA’s minimum requirements in their environmental review.",https://climate.law.columbia.edu/content/ceq-finalizes-first-phase-its-revisions-nepa-regulations,National,Final rule,CEQ,Climate-Reregulation-Tracker
DOE Proposes Energy Conservation Standards for Consumer Pool Heaters,2022,USA,"<p>The Department of Energy published a notice of proposed rulemaking concerning energy conservation standards for consumer pool heaters.</p>
On April 15, 2022, the Department of Energy (DOE) proposed amended energy conservation standards for gas-fired pool heaters and new energy conservation standards for electric pool heaters. DOE estimates that the standards would result in cumulative emissions reductions over a 30-year period of 19 million metric tons (“Mt”)of carbon dioxide (“CO2 ”), 5.5 thousand tons of sulfur dioxide (“SO2 ”), 90 thousand tons of nitrogen oxides (“NOX ”), 161 thousand tons of methane (“CH4 ”), 0.15 thousand tons of nitrous oxide (“N2 O”), and 0.03 tons of mercury (“Hg”).

DOE is accepting comments “regarding the competitive impact of the proposed standard” until May 16, 2022, and comments, data, and information regarding the notice of proposed rulemaking until June 14, 2022.",https://climate.law.columbia.edu/content/doe-proposes-energy-conservation-standards-consumer-pool-heaters,National,Notice of Proposed Rulemaking,DOE,Climate-Reregulation-Tracker
DOE Updates Baseline Energy Efficiency Standards for New Federal Commercial and Multi-Family High-Rise Residential Buildings,2022,USA,"<p>The Department of Energy updated its energy efficiency standards for new federal commercial and multi-family high-rise residential buildings under the Energy Conservation and Production Act.</p>
On April 7, 2022, the Department of Energy (DOE) updated its energy efficiency standards for new federal commercial and multi-family high-rise residential buildings under the Energy Conservation and Production Act. The April 2022 rule updates the baseline Federal standard to the American Society of Heating, Refrigerating, and Air-Conditioning Engineers (ASHRAE) Standard 90.1-2019.",https://climate.law.columbia.edu/content/doe-updates-baseline-energy-efficiency-standards-new-federal-commercial-and-multi-family,National,Final rule,DOE,Climate-Reregulation-Tracker
DOE Updates Baseline Energy Efficiency Standards for New Federal Low-Rise Residential Buildings ,2022,USA,"<p>The Department of Energy updated its baseline energy efficiency standards for the design and construction of new federal low-rise residential buildings under the Energy Conservation and Production Act.</p>
On April 5, 2022, the Department of Energy (DOE) updated its baseline energy efficiency standards for the design and construction of new federal low-rise residential buildings under the Energy Conservation and Production Act. The April 2022 rule updates the baseline federal residential standard to the International Code Council (ICC) 2021 International Energy Conservation Code (IECC).",https://climate.law.columbia.edu/content/doe-updates-baseline-energy-efficiency-standards-new-federal-low-rise-residential-buildings,National,Final rule,DOE,Climate-Reregulation-Tracker
DOE Adopts Two Final Rules Setting Stricter Energy Efficiency Standards for Light Bulbs,2022,USA,"<p>The Department of Energy finalized two rules reversing the previous administration’s rollback of energy efficiency standards for light bulbs.</p>
On April 26, 2022, the Department of Energy (DOE) finalized two rules reversing the previous administration’s rollback of energy efficiency standards for light bulbs. In the first rule, DOE has codified a 45 lumens per watt (“lm/W”) backstop energy efficiency requirement for general service lamps (“GSLs”) that Congress prescribed in the Energy Policy and Conservation Act. In the second rule, DOE has reinstated rescinded definitional rules pertaining to “general service lamps” and “general service incandescent lamps” to expand the types of light bulbs that will be covered by the more stringent standards.

Both of these rules reverse rollbacks put in place under the previous administration In January 2017 DOE had finalized regulations expanding the types of light bulbs subject to energy efficiency standards under the Environmental Policy and Conservation Act by redefining ""general service lamp"" and strengthened standards to phase out less-efficient incandescent light bulbs. These regulations were scheduled to come into effect in January 2020. In late 2019, DOE repealed those rules and blocked the phaseout of incandescent light bulbs.",https://climate.law.columbia.edu/content/doe-adopts-two-final-rules-setting-stricter-energy-efficiency-standards-light-bulbs,National,Final rule,DOE,Climate-Reregulation-Tracker
BLM Reinstates 2013 Land Management Plan for the National Petroleum Reserve in Alaska,2022,USA,"<p>The Bureau of Land Management issued a Record of Decision reverting the Integrated Activity Plan for the National Petroleum Reserve in Alaska to that approved in 2013.</p>
On April, 25, 2022, the Bureau of Land Management issued a Record of Decision reverting the Integrated Activity Plan for the National Petroleum Reserve in Alaska to that approved in 2013. The Record of Decision replaces the plan adopted by the Trump administration in 2020. The new Integrated Activity Plan reduces the percentage of land in the National Petroleum Reserve available for oil and gas leasing from roughly 82% to roughly 52%.",https://climate.law.columbia.edu/content/blm-reinstates-2013-land-management-plan-national-petroleum-reserve-alaska,National,Record of Decision,BLM,Climate-Reregulation-Tracker
President Biden Signs Executive Order on Enhancing the Climate Resiliency of the Nation’s Forests,2022,USA,"<p>President Biden signed an “Executive Order on Strengthening the Nation’s Forests, Communities, and Local Economies,” which includes measures to enhance the climate resiliency of the nation’s forests.</p>
On April 22, 2022, President Biden signed an “Executive Order on Strengthening the Nation’s Forests, Communities, and Local Economies.” The executive order includes measures to enhance the climate resiliency of the nation’s forests, including through reforestation efforts. The executive order also directs federal agencies to study ways that nature-based solutions could be deployed to tackle climate change.",https://climate.law.columbia.edu/content/president-biden-signs-executive-order-enhancing-climate-resiliency-nations-forests,National,Executive Order,White House,Climate-Reregulation-Tracker
NOAA Fisheries Releases Draft Climate Science Regional Action Plans for 2022 through 2024,2022,USA,"<p>The National Oceanic and Atmospheric Administration released Draft Climate Science Regional Action Plans for the nation’s marine resources for 2022 through 2024.</p>
On April 22, 2022, the National Oceanic and Atmospheric Administration (NOAA) released Draft Climate Science Regional Action Plans for the nation’s marine resources for 2022 through 2024. The plans “are designed to increase the production, delivery and use of climate-related information” to facilitate the stewardship of the nation’s living marine resources. NOAA is accepting comments on the draft plans through June 2, 2022, and is specifically inviting comments on “(a) The clarity of the goals and activities in the draft Plans, (b) how to strengthen the draft Plans and activities; [and] (c) what additional goals and activities need to be addressed.”",https://climate.law.columbia.edu/content/noaa-fisheries-releases-draft-climate-science-regional-action-plans-2022-through-2024,National,Draft Plan,NOAA,Climate-Reregulation-Tracker
DOE Proposes More Stringent Commercial Water Heating Equipment Energy Conservation Standards,2022,USA,"<p>The Department of Energy proposed more stringent standards under the Energy Policy and Conservation Act for commercial water heating equipment.</p>
On May 5, 2022, the Department of Energy published a notice of proposed rulemaking, in which it proposed more stringent standards under the Energy Policy and Conservation Act for commercial water heating equipment. The rulemaking applies to gas storage, instantaneous water heaters, and gas hot water supply boilers, but excludes commercial oil-fired storage water heaters. Under the proposed rule, such equipment would be required to implement condensing technology to reduce energy consumption by extracting additional heat during the combustion process. DOE predicts that the proposed standards would reduce carbon emissions by an amount equivalent to the annual emissions of 4.8 million homes, while cutting methane emissions by an amount equivalent to the annual emissions of 2.3 million gasoline cars.

DOE is accepting comments for sixty days after the notice of proposed rulemaking’s publication in the Federal Register. DOE is also holding a public meeting on the proposed rule on June 6, 2016, from 1:00 p.m. to 5:00 p.m., in Washington, DC.",https://climate.law.columbia.edu/content/doe-proposes-more-stringent-commercial-water-heating-equipment-energy-conservation,National,Notice of Proposed Rulemaking,DOE,Climate-Reregulation-Tracker
The White House Releases Action Plan for Federal Permitting and Environmental Reviews,2022,USA,"<p>The White House published a “Permitting Action Plan to Rebuild America’s Infrastructure, Accelerate the Clean Energy Transition, Revitalize Communities, and Create Jobs.”</p>
On May 11, 2022, the White House published a “Permitting Action Plan to Rebuild America’s Infrastructure, Accelerate the Clean Energy Transition, Revitalize Communities, and Create Jobs.” The plan centers on five key elements to strengthen federal environmental review and permitting:

(1) accelerating permitting through early cross-agency coordination to appropriately scope reviews, reduce bottlenecks, and use the expertise of sector-specific teams;

(2) establishing clear timeline goals and tracking key project information to improve transparency and accountability, providing increased certainty for project sponsors and the public;

(3) engaging in early and meaningful outreach and communication with Tribal Nations, States, territories, and local communities;

(4) improving agency responsiveness, technical assistance, and support to navigate the environmental review and permitting process effectively and efficiently; and

(5) adequately resourcing agencies and using the environmental review process to improve environmental and community outcomes.

Several of these elements contain climate-specific actions. To help encourage cross-agency coordination, the White House has convened sector-specific teams of efforts for issues related to offshore wind energy and transmission, onshore renewable energy and transmission, production and processing of critical minerals, transportation, and climate-smart infrastructure. Furthermore, to help federal agencies conduct consistent environmental reviews, the action plan provides that the Council on Environmental Quality will establish clear and consistent standards for assessing the climate change impacts of projects.",https://climate.law.columbia.edu/content/white-house-releases-action-plan-federal-permitting-and-environmental-reviews,National,"White House Announcement,Strategic Plan",White House,Climate-Reregulation-Tracker
SEC Proposes Stricter Disclosure of Environmental Investment Practices,2022,USA,"<p>The Securities and Exchange Commission proposed amending rules and forms to enhance disclosure requirements for ESG (environmental, social, and governance) investment practices.</p>
On June 17, 2022, the Securities and Exchange Commission (SEC) proposed amending rules and forms to enhance disclosure requirements for ESG (environmental, social, and governance) investment practices. The proposed rules would apply to certain registered investment advisers, advisers exempt from registration, registered investment companies, and business development companies.

The proposal would categorize various ESG strategies and require funds and advisors to provide more specific disclosures. For funds focused on the consideration of environmental factors, the proposal would require the disclosure of the greenhouse gas emissions associated with portfolio investments. Furthermore, the proposal would require funds claiming specific ESG impacts to describe the specific impacts they seek to achieve and summarize their progress in achieving them.

SEC is accepting comments until August 16, 2022.",https://climate.law.columbia.edu/content/sec-proposes-stricter-disclosure-environmental-investment-practices,National,Proposed Rule,SEC,Climate-Reregulation-Tracker
